,IOC,Type,Total Engines,Malicious,Suspicious,Microsoft Detection,Flagged by Microsoft,In CIRCL Dataset,Severity Percentage,Error
167,Encryptalert.com,domain,94,2,4,undetected,No,No,2.13,
159,Risotoska.co.in,domain,94,2,4,undetected,No,No,2.13,
154,Encryptalert.com,domain,94,2,4,undetected,No,No,2.13,
147,Uxaya.sbs,domain,94,4,4,undetected,No,No,4.26,
145,Cambertech.xyz,domain,94,0,4,undetected,No,No,0.0,
136,viralclipnow.xyz,domain,94,1,4,undetected,No,No,1.06,
161,Ferigs.xyz,domain,94,1,3,undetected,No,No,1.06,
142,Propertyportocolom.com,domain,94,1,3,undetected,No,No,1.06,
138,impliednauseous.xyz,domain,94,0,3,undetected,No,No,0.0,
137,acceleratetomb.xyz,domain,94,0,3,undetected,No,No,0.0,
163,Edygik.org,domain,94,2,2,undetected,No,No,2.13,
162,Apperetive.xyz,domain,94,13,2,undetected,No,No,13.83,
160,Opukoj.com,domain,94,11,2,undetected,No,No,11.7,
155,ferma.co.in,domain,94,0,2,undetected,No,No,0.0,
153,Hotnewrumor.com,domain,94,9,2,undetected,No,No,9.57,
141,Tvddt.online,domain,94,1,2,undetected,No,No,1.06,
175,impliednauseous.com,domain,94,2,1,undetected,No,No,2.13,
174,movie.rssnews.media,domain,94,1,1,undetected,No,No,1.06,
172,Spicymaturelovers.site,domain,94,1,1,undetected,No,No,1.06,
171,Jidoscn.sbs,domain,94,2,1,undetected,No,No,2.13,
170,Cleanupharm.com,domain,94,3,1,undetected,No,No,3.19,
169,Fabiansec.com,domain,94,1,1,undetected,No,No,1.06,
168,Ok-wwow.com,domain,94,0,1,undetected,No,No,0.0,
165,Extuilowelevid.com,domain,94,10,1,undetected,No,No,10.64,
164,Digitdsk.org,domain,94,1,1,undetected,No,No,1.06,
158,Sualiteregents.co.in,domain,94,0,1,undetected,No,No,0.0,
157,Gtrewe.co.in,domain,94,0,1,undetected,No,No,0.0,
156,Rssnews.media,domain,94,0,1,undetected,No,No,0.0,
152,Dankdigs.com,domain,94,12,1,undetected,No,No,12.77,
151,Leak.eneu.io,domain,94,0,1,undetected,No,No,0.0,
150,cccodes.cloud,domain,94,2,1,undetected,No,No,2.13,
149,viralnow.xyz,domain,94,1,1,undetected,No,No,1.06,
146,Extuilowelevid.com,domain,94,10,1,undetected,No,No,10.64,
144,Mstores.top,domain,94,0,1,undetected,No,No,0.0,
139,Whilsttypewriter.com,domain,94,7,1,undetected,No,No,7.45,
135,accomodateyours.com,domain,94,0,1,undetected,No,No,0.0,
66,jameshardie.it,domain,94,0,1,undetected,No,No,0.0,
33,cmsg.uk.com,domain,94,0,1,undetected,No,No,0.0,
16,bluepoint.uk.com,domain,94,0,1,undetected,No,No,0.0,
173,Nitehushpro24.com,domain,94,1,0,undetected,No,No,1.06,
166,Thankstoyou.space,domain,94,1,0,undetected,No,No,1.06,
148,Lijit.com,domain,94,0,0,undetected,No,No,0.0,
143,wearychallengeraise.com,domain,94,5,0,undetected,No,No,5.32,
140,Trusthubmedia.com,domain,94,0,0,undetected,No,No,0.0,
134,share.js.org,domain,94,0,0,undetected,No,No,0.0,
133,kopde-tuk-kpre.blogspot.com,domain,94,2,0,undetected,No,No,2.13,
132,pokam-pok.blogspot.com,domain,94,0,0,undetected,No,No,0.0,
131,chesta-korci-bro.blogspot.com,domain,94,0,0,undetected,No,No,0.0,
130,zf.com,domain,94,0,0,undetected,No,No,0.0,
129,wsu.edu,domain,94,0,0,undetected,No,No,0.0,
128,wiley.com,domain,94,0,0,undetected,No,No,0.0,
127,wholetale.org,domain,94,0,0,undetected,No,No,0.0,
126,virginia.edu,domain,94,0,0,undetected,No,No,0.0,
125,valley.com,domain,94,0,0,undetected,No,No,0.0,
124,utexas.edu,domain,94,0,0,undetected,No,No,0.0,
123,usopen.com,domain,94,0,0,undetected,No,No,0.0,
