,IOC,Type,VT Malicious,VT Suspicious,Total Engines,Severity %,Microsoft Detection,OTX Pulses,In CIRCL Dataset,Country,State,City,Latitude,Longitude
0,831d98404ce5e3e5499b558bb653510c0e9407e4cb2f54157503a0842317a363,file,6,0,76,7.89,,1,No,,,,0,0
1,6cfa5f93223db220037840a2798384ccc978641bcec9c118fde704d40480d050,file,10,0,76,13.16,,1,No,,,,0,0
2,5e4511905484a6dc531fa8f32e0310a8378839048fe6acfeaf4dda2396184997,file,23,0,76,30.26,Trojan:Win32/Wacatac.B!ml,1,No,,,,0,0
3,9a84929e3d254f189cb334764c9b49571cafcd97a93e627f0502c8a9c303c9a4,file,20,0,76,26.32,Trojan:Win32/Wacatac.B!ml,1,No,,,,0,0
4,aed1b6782cfd70156b99f1b79412a6e80c918a669bc00a6eee5e824840c870c1,file,0,0,0,0,undetected,1,No,,,,0,0
5,633f90a3125d0668d3aac564ae5b311416f7576a0a48be4a42d21557f43d2b4f,file,37,0,76,48.68,,1,No,,,,0,0
6,bc8b4f4af2e31f715dc1eb173e53e696d89dd10162a27ff5504c993864d36f2f,file,0,0,0,0,undetected,1,No,,,,0,0
7,a41e7a78f0a2c360db5834b4603670c12308ff2b0a9b6aeaa398eeac6d3b3190,file,0,0,0,0,undetected,1,No,,,,0,0
8,d81a014332e322ce356a0e2ed11cffddd37148b907f9fdf5db7024e192ed4b70,file,11,0,76,14.47,,1,No,,,,0,0
9,14b2c620dc691bf6390aef15965c9587a37ea3d992260f0cbd643a5902f0c65b,file,0,0,0,0,undetected,1,No,,,,0,0
10,e788f829b1a0141a488afb5f82b94f13035623609ca3b83f0c6985919cd9e83b,file,56,0,76,73.68,VirTool:Win64/Chisel.G,2,No,,,,0,0
11,9d9cb28b5938529893ad4156c34c36955aab79c455517796172c4c642b7b4699,file,25,0,76,32.89,,1,No,,,,0,0
12,e14b07b67f1a54b02fc6b65fdba3c9e41130f283bfea459afa6bee763d3756f8,file,19,0,76,25,VirTool:MSIL/PoshC2!rfn,1,No,,,,0,0
13,2ce8653c59686833272b23cc30235dae915207bf9cdf1d08f6a3348fb3a3e5c1,file,28,0,76,36.84,,1,No,,,,0,0
14,7e0aa32565167267bce5f9508235f1dacbf78a79b44b852c25d83ed093672ed9,file,25,0,76,32.89,,1,No,,,,0,0
15,f1919abe7364f64c75a26cff78c3fcc42e5835685301da26b6f73a6029912072,file,27,0,76,35.53,Trojan:Win32/Alevaul!rfn,1,No,,,,0,0
16,f5614dc9f91659fb956fd18a5b81794bd1e0a0de874b705e11791ae74bb2e533,file,1,0,76,1.32,,1,No,,,,0,0
17,3bbe3f42857bbf74424ff4d044027b9c43d3386371decf905a4a1037ad468e2c,file,0,0,0,0,undetected,1,No,,,,0,0
18,a61092a13155ec8cb2b9cdf2796a1a2a230cfadb3c1fd923443624ec86cb7044,file,28,0,76,36.84,Trojan:Win32/Wacatac.B!ml,1,No,,,,0,0
19,0bb7a473d2b2a3617ca12758c6fbb4e674243daa45c321d53b70df95130e23bc,file,0,0,0,0,undetected,1,No,,,,0,0
20,9149ea94f27b7b239156dc62366ee0f85b0497e1a4c6e265c37bedd9a7efc07f,file,0,0,0,0,undetected,1,No,,,,0,0
21,d528bcbfef874f19e11bdc5581c47f482c93ff094812b8ee56ea602e2e239b56,file,14,0,76,18.42,,1,No,,,,0,0
