,IOC,Type,VT Malicious,VT Suspicious,Total Engines,Severity %,Microsoft Detection,OTX Pulses,In CIRCL Dataset,Country,State,City,Latitude,Longitude
0,https://whm.191-96-11-127.cprapid.com/relog/otp6/sign/index.html,url,0,0,0,0,undetected,1,No,,,,0,0
1,https://users-kucoin.com/sostener.vbs,url,0,0,0,0,undetected,1,No,,,,0,0
2,http://45-135-232-38.cprapid.com/bancolombia/tokeninvalido/token-inva.html,url,0,0,0,0,undetected,1,No,,,,0,0
3,118939d7269aa279988e56ce17f1812fde855b4173358ae2935468ae4e8a2f30,file,27,0,76,35.53,Trojan:VBS/AsyncRAT!MTB,3,No,,,,0,0
4,46975b762e3b2f2d995491706494068f1e7356155634c222c096e3ee159aac88,file,0,0,0,0,undetected,50,No,,,,0,0
5,http://drpras.duckdns.org/cajasocial,url,0,0,0,0,undetected,2,No,,,,0,0
6,ups-tracking.50-6-171-180.cprapid.com,domain,8,2,94,8.51,undetected,0,No,,,,0,0
7,2b3fc741a0ea9d2b1485af1ba0910dbd8c3e17e0993e5d163830bcfecf1f7218,file,0,0,0,0,undetected,50,No,,,,0,0
8,5eedf72186da2896900c58f681abcd422007aa75bead01abf700e67c3c0399c8,file,0,0,76,0,,1,No,,,,0,0
9,172-232-217-231.cprapid.com,domain,1,1,94,1.06,undetected,0,No,,,,0,0
10,http://drpras.duckdns.org/davivienda/img/error.jpeg,url,0,0,0,0,undetected,1,No,,,,0,0
11,e8347183db35a101c35745d9e6709c0cd18669306e7501243af315b4f7a87333,file,0,0,76,0,,1,No,,,,0,0
12,http://drpras.duckdns.org/bbva5,url,0,0,0,0,undetected,2,No,,,,0,0
13,181.206.158.190,ip_address,20,0,94,21.28,undetected,8,No,Colombia,Bogota D.C.,Bogotá,4.68224,-74.1211
14,275ffd0055148e79df9c6ddcb9782385c65464a7e9aba01acfd76f9eafcac369,file,0,0,75,0,,1,No,,,,0,0
15,http://45.135.232.38/sostener2.vbs,url,0,0,0,0,undetected,2,No,,,,0,0
16,ns2.186-2-171-59.cprapid.com,domain,1,1,94,1.06,undetected,0,No,,,,0,0
17,70fde5e9ea72ec208951adecf91801b752d72390a87d7defb288d67553a446a1,file,63,0,76,82.89,Backdoor:Win32/Remcos.GA!MTB,3,No,,,,0,0
18,http://drpras.duckdns.org/davivienda/img/lemotiv.png,url,0,0,0,0,undetected,1,No,,,,0,0
19,5d8d7cc5ede5db1fadab26520cb397ad061d80b525d121572a574ff4ccebee57,file,0,0,0,0,undetected,50,No,,,,0,0
20,e0e2918b279ef74ce42100fc738f8c9ff7f160cd78ed47db1a6b0d3fd2e91225,file,0,0,0,0,undetected,50,No,,,,0,0
21,wpt-tkob.66-84-30-230.cprapid.com,domain,5,1,94,5.32,undetected,0,No,,,,0,0
22,updatee-facebok.com,domain,18,0,94,19.15,undetected,3,No,,,,0,0
23,https://pt.textbin.net/raw/hazfzvn6bp/api/webhooks/1351943797524660297/0G4ZquaTKJZ9MynlsbWbMOSclboqh,url,0,0,0,0,undetected,1,No,,,,0,0
24,https://textbin.net/ra,url,0,0,0,0,undetected,1,No,,,,0,0
25,wpt-yuys.131-153-56-226.cprapid.com,domain,1,1,94,1.06,undetected,0,No,,,,0,0
26,https://textbin.net/t,url,0,0,0,0,undetected,1,No,,,,0,0
27,http://dcuxpag.duckdns.org/bbva5/,url,0,0,0,0,undetected,1,No,,,,0,0
28,0f43d44e18e29be0ee6c5c50416be0f354cbb0ee7c4ade4f0a469b8b37290394,file,55,0,76,72.37,VirTool:Win32/Sysdupate.gen!D,8,No,,,,0,0
29,driveswindows.duckdns.org,domain,16,1,94,17.02,undetected,0,No,,,,0,0
30,https://mail.45-135-232-38.cprapid.com/sostener.vbs,url,0,0,0,0,undetected,1,No,,,,0,0
31,203-175-8-161.cprapid.com,domain,1,1,94,1.06,undetected,0,No,,,,0,0
32,http://drpras.duckdns.org/bancolombia/tokeninvalido/style.css,url,0,0,0,0,undetected,1,No,,,,0,0
33,d016fcbdb988d56df4c26d75a12e87a61010ed2366b52eefb8b409a1d8bcbaab,file,57,0,76,75,VirTool:MSIL/ResInject!pz,2,No,,,,0,0
34,6932b67975d14d5d28cca2d73e6b1f31c3525e2472c38ae223b52dea0e84bebc,file,48,0,75,64,Trojan:Win32/Wacatac.A!ml,1,No,,,,0,0
35,https://mysweepstakes.site.31-22-4-39.cprapid.com/,url,0,0,0,0,undetected,1,No,,,,0,0
36,http://ns1.190-102-43-24.cprapid.com/,url,0,0,0,0,undetected,1,No,,,,0,0
37,textbin.net,domain,9,1,94,9.57,undetected,50,No,,,,0,0
38,4297de28d569560bf2cd287e1a44771ec4f8deac993cb69b54b36fa497af52d3,file,22,0,76,28.95,Trojan:Win32/Alevaul!rfn,6,No,,,,0,0
39,42e7e4d04acb52f076c586cdf99ba72ba3d041a9341a7aba04fb640a53f1471f,file,26,0,76,34.21,Trojan:VBS/Obfuse!MTB,2,No,,,,0,0
40,https://textbin.net/s,url,0,0,0,0,undetected,1,No,,,,0,0
41,vm130833.goodtec.cloud,domain,15,0,94,15.96,undetected,0,No,,,,0,0
42,drgost.duckdns.org,domain,18,1,94,19.15,undetected,0,No,,,,0,0
43,https://www.13-36-166-80.cprapid.com/,url,0,0,0,0,undetected,1,No,,,,0,0
44,http://drpras.duckdns.org/bancolombia/img/logo_sve.gif,url,0,0,0,0,undetected,1,No,,,,0,0
45,https://textbin.net/raw/ohar02rduo,url,0,0,0,0,undetected,1,No,,,,0,0
46,https://13-36-166-80.cprapid.com/,url,0,0,0,0,undetected,1,No,,,,0,0
47,http://updatee-facebok.com/sostener.vbs,url,0,0,0,0,undetected,3,No,,,,0,0
48,f3a16bd0a4daf9fbb9a62881c3ff501a88c6d50b724bfc6c2228f2883a9c0930,file,47,0,76,61.84,Trojan:Win32/Znyonm,1,No,,,,0,0
49,ea33b1ebc997854af3c942b5546a3009bb921c20a2c862a4f327306d2bc26c50,file,46,0,76,60.53,Trojan:Win64/CrealStealer.AMK!MTB,8,No,,,,0,0
50,http://webmail.173-231-230-161.cprapid.com/,url,0,0,0,0,undetected,2,No,,,,0,0
51,3b2776d93feca48f02f530dff6a3d4d918d94ce4e61c249b9f51f24d1d090d74,file,55,0,76,72.37,TrojanDownloader:MSIL/AsyncRAT.AF!MTB,2,No,,,,0,0
52,433138a3783bbf3033b638ed447e6fcddad64832f329cfd6b7b519fa57b31738,file,53,0,76,69.74,Trojan:Win32/Alevaul!rfn,2,No,,,,0,0
53,https://textbin.net/raw/r86qxoa6rsg,url,0,0,0,0,undetected,1,No,,,,0,0
54,http://drpras.duckdns.org/bancolombia/tokeninvalido/token-inva.html,url,0,0,0,0,undetected,1,No,,,,0,0
55,http://drpras.duckdns.org/bancolombia/img/icono.jpg,url,0,0,0,0,undetected,1,No,,,,0,0
56,https://45.135.232.38/sostener.vbs,url,0,0,0,0,undetected,3,No,,,,0,0
57,71358e1d73a327a458a3880681a6e76aa95cff4bd0ad322c413649afd2c3bbf5,file,0,0,76,0,,1,No,,,,0,0
58,https://textbin.net/l,url,0,0,0,0,undetected,1,No,,,,0,0
59,update-facebok.com,domain,14,0,94,14.89,undetected,1,No,,,,0,0
60,mail.45-135-232-38.cprapid.com,domain,8,1,94,8.51,undetected,0,No,,,,0,0
61,https://webdisk.3-137-194-246.cprapid.com,url,0,0,0,0,undetected,1,No,,,,0,0
62,http://mail.45-135-232-38.cprapid.com/sostener.vbs,url,0,0,0,0,undetected,1,No,,,,0,0
63,cprapid.com,domain,4,0,94,4.26,undetected,50,No,,,,0,0
64,http://drpras.duckdns.org/davivienda/img/signo.jpeg,url,0,0,0,0,undetected,1,No,,,,0,0
65,https://textbin.net/raw/xsi2eulwpw,url,0,0,0,0,undetected,2,No,,,,0,0
66,f092b7606233d1512530c5680b4e4ea17212f24024374bfd96061cd7260a0ffa,file,53,0,76,69.74,Trojan:Win32/Leonem,3,No,,,,0,0
67,http://drpras.duckdns.org/bancolombia/img/itemb.jpg,url,0,0,0,0,undetected,1,No,,,,0,0
68,http://ns2.190-102-43-24.cprapid.com/,url,0,0,0,0,undetected,1,No,,,,0,0
69,87ca9a7029a70d9b18e6e5a3b521c559a75e60c289d16dce833b05fc0d6b6c85,file,0,0,0,0,undetected,50,No,,,,0,0
70,wpt-ivbh.62-212-239-135.cprapid.com,domain,8,2,94,8.51,undetected,0,No,,,,0,0
71,cpcontacts.verifica.accesso.lt.160-119-251-182.cprapid.com,domain,8,2,94,8.51,undetected,0,No,,,,0,0
72,https://dcuxpag.duckdns.org/bancolombia/,url,0,0,0,0,undetected,1,No,,,,0,0
73,2c9b999f3cb82c127bd9bad395dc73304bbddc1015de617cae367dc749e24703,file,44,0,76,57.89,Trojan:MSIL/AmsiBypass.CCHZ!MTB,4,No,,,,0,0
74,http://webdisk.3-137-194-246.cprapid.com,url,0,0,0,0,undetected,1,No,,,,0,0
75,http://dcuxpag.duckdns.org/bancolombia/,url,0,0,0,0,undetected,1,No,,,,0,0
76,137-184-24-197.mail.116-204-248-129.cprapid.com,domain,2,3,94,2.13,undetected,0,No,,,,0,0
77,pt.textbin.net,domain,5,1,94,5.32,undetected,0,No,,,,0,0
78,http://textbin.net/raw/ohar02rduo,url,0,0,0,0,undetected,2,No,,,,0,0
79,71d4766edfed03bf5373d11aadde2a10dbccaddafa546ec5584c371d27ac6cd7,file,0,0,0,0,undetected,50,No,,,,0,0
80,57aacca2e2bcb47513ae6f4d822331d0984899ef44c25e5e44c89e9a56a600ef,file,0,0,77,0,,1,No,,,,0,0
81,http://dxpam.duckdns.org/bancolombia/tokeninvalido/token-inva.html,url,0,0,0,0,undetected,1,No,,,,0,0
82,http://dcuxpag.duckdns.org/dinamicas/,url,0,0,0,0,undetected,1,No,,,,0,0
83,http://dcuxpag.duckdns.org/,url,0,0,0,0,undetected,1,No,,,,0,0
84,mail.108-163-247-202.cprapid.com,file,0,0,0,0,undetected,0,No,,,,0,0
85,ed6643adcd866ebe085c51be955c632a8fce08efce99cf87f8a42dcf1e5ef36a,file,21,0,76,27.63,Trojan:Win32/Alevaul!rfn,6,No,,,,0,0
86,ffb9c305607ccd1e0612b7e26ebcd870c0d8d580308ca9626473b4cc0345ea24,file,0,0,75,0,,1,No,,,,0,0
87,f1ef5f35dc925d2e9bafc9af455aae1f1b9f2aebb8f83ceed27f3f2921515d9f,file,0,0,0,0,undetected,50,No,,,,0,0
88,f759c45dd88b49e3cd936ad0c450cd18ef4a56a620b07d252b7f01a20b8de379,file,0,0,0,0,undetected,50,No,,,,0,0
89,e0e27f27a6f2fa2fe7983ddb155117a1d2ef80aa941c2410ec7d7bc9ab037ce8,file,62,0,76,81.58,Worm:Win32/Mofksys!pz,2,No,,,,0,0
90,http://15-237-96-228.cprapid.com,url,0,0,0,0,undetected,1,No,,,,0,0
91,http://drpras.duckdns.org/bancolombia/img/logo.jpg,url,0,0,0,0,undetected,1,No,,,,0,0
92,b4031a0fee34072aa5c58b677ac2be9caf81f6a1e4cee4781cf3345e55df1231,file,62,0,76,81.58,Backdoor:MSIL/AsyncRAT!pz,3,No,,,,0,0
93,http://dcfast.duckdns.org/dinamicas/,url,0,0,0,0,undetected,1,No,,,,0,0
94,635cbfeb91b61be7424f133b9c3a0d29f8fab9dbc5d1dd5125806a1223136d9d,file,0,0,0,0,undetected,50,No,,,,0,0
95,store3.gofile.io,domain,1,0,94,1.06,undetected,0,No,,,,0,0
96,http://drpras.duckdns.org/davivienda/img/icon.jpg,url,0,0,0,0,undetected,1,No,,,,0,0
97,cpcalendars.167-71-80-17.cprapid.com,domain,15,3,94,15.96,undetected,0,No,,,,0,0
98,accountupdate.secure.att.com.34-46-203-238.cprapid.com,domain,10,2,94,10.64,undetected,0,No,,,,0,0
99,https://dcuxpag.duckdns.org/bancolombia,url,0,0,0,0,undetected,1,No,,,,0,0
100,https://textbin.net/raw/ezjmofz3s6Xze,url,0,0,0,0,undetected,1,No,,,,0,0
101,https://textbin.net/i,url,0,0,0,0,undetected,1,No,,,,0,0
102,http://dcuxpag.duckdns.org/davivienda/,url,0,0,0,0,undetected,1,No,,,,0,0
103,https://textbin.net/Q,url,0,0,0,0,undetected,1,No,,,,0,0
104,159.148.88.218,ip_address,11,0,94,11.7,undetected,3,No,Latvia,Rīga,Riga,56.9473,24.0979
105,b7f70efffd26242e94019e2dfcc18ce4cbd08c87a6a499ae18accc56878d62b2,file,55,0,76,72.37,VirTool:MSIL/ResInject!MTB,1,No,,,,0,0
106,https://170-64-175-101.cprapid.com/myapps/telstra/signin/,url,0,0,0,0,undetected,1,No,,,,0,0
107,af49a19cfd5cdcfdd19ac5578fface0100eddb9f088bde77c1a13eaab6b54e00,file,15,0,76,19.74,Trojan:VBS/Obfuse!MTB,2,No,,,,0,0
108,https://textbin.net/raw/vh39mjtqea,url,0,0,0,0,undetected,1,No,,,,0,0
109,http://45-135-232-38.cprapid.com/dinamicas,url,0,0,0,0,undetected,1,No,,,,0,0
110,1c2062363c6a758e4a34934e46d60ab72d32cc0d26437d3f847b2a701a74ba26,file,57,0,76,75,Trojan:Win32/Redline.YX!MTB,3,No,,,,0,0
111,https://textbin.net/download/6j1xtw58bl,url,0,0,0,0,undetected,1,No,,,,0,0
112,1f1c42450a44e9cbd112572924d3ecd8da99c2ed848df0beb0c7c10c60faf85b,file,58,0,76,76.32,Trojan:Win32/Dapato.EM!MTB,2,No,,,,0,0
113,3a1746ffc053eac4883e82ac092d425cfd58c839565a6b897ba288a3d1a692e8,file,0,0,0,0,undetected,50,No,,,,0,0
114,https://ipv6.43-130-26-131.cprapid.com/,url,0,0,0,0,undetected,1,No,,,,0,0
115,https://82-208-21-233.cprapid.com/PayByPhone.eu/,url,0,0,0,0,undetected,1,No,,,,0,0
116,ns1.186-2-171-59.cprapid.com,domain,1,1,94,1.06,undetected,0,No,,,,0,0
117,http://cpcontacts.44-212-96-178.cprapid.com/,url,0,0,0,0,undetected,3,No,,,,0,0
118,d5095fc28d9b189698d2feebe96eceb5ee9d31877a0f2ed970356ff079455d73,file,22,0,76,28.95,Trojan:Win32/Alevaul!rfn,6,No,,,,0,0
119,e3739be8d78b50799d45a14a016eb9fcd7d5e6c4c16f508500d78c2307952412,file,1,0,76,1.32,,1,No,,,,0,0
120,3b2a51d955d32a0a1ecf5245a3767e54dea7b069a2b9af4d3a34ee17575b1b2b,file,56,0,76,73.68,Trojan:Win32/Phoenix.RPY!MTB,3,No,,,,0,0
121,http://dcuxpag.duckdns.org/sostener.vbs,url,0,0,0,0,undetected,1,No,,,,0,0
122,mail.108-137-84-107.cprapid.com,domain,8,2,94,8.51,undetected,0,No,,,,0,0
123,users-kucoin.com,domain,13,0,94,13.83,undetected,1,No,,,,0,0
124,https://textbin.net/download/igvxdijw4qG,url,0,0,0,0,undetected,1,No,,,,0,0
125,104-237-234-70.cprapid.com,domain,7,1,94,7.45,undetected,0,No,,,,0,0
126,nalozhka.sec-web.app.srekanay.prod05.comup.selliod1dars.185-224-83-37.cprapid.com,domain,4,4,94,4.26,undetected,0,No,,,,0,0
127,http://45.135.232.38/sostener3.vbs,url,0,0,0,0,undetected,2,No,,,,0,0
128,https://textbin.net/n8plrb9ea9,url,0,0,0,0,undetected,1,No,,,,0,0
129,7602f7b433b9acc6e6b75af6dffc82f3fb164c075485c91c879c18aa03d73759,file,36,0,76,47.37,,1,No,,,,0,0
130,http://dcmxz.duckdns.org/sostener.vbs,url,0,0,0,0,undetected,4,No,,,,0,0
131,http://testedark.writesthisblog.com/,url,0,0,0,0,undetected,1,No,,,,0,0
132,dxpam.duckdns.org,domain,17,1,94,18.09,undetected,0,No,,,,0,0
133,db457457003d9d87dfe09c1a1b190d0c4249db8232a052af49f4bba05228f8b4,file,0,0,76,0,,2,No,,,,0,0
134,https://dcfast.duckdns.org/bancolombia/token.html,url,0,0,0,0,undetected,1,No,,,,0,0
135,http://dcuxpag.duckdns.org/cajasocial/,url,0,0,0,0,undetected,1,No,,,,0,0
136,https://13-36-166-80.cprapid.com/RingGoGreen/,url,0,0,0,0,undetected,1,No,,,,0,0
137,nalozhka.nalozhka.sec-web.app.srekanay.prod05.comup.selliod1dars.185-224-83-37.cprapid.com,domain,4,4,94,4.26,undetected,0,No,,,,0,0
138,13-48-200-20.cprapid.com,domain,5,2,94,5.32,undetected,0,No,,,,0,0
139,http://45-135-232-38.cprapid.com/sostener.vbs,url,0,0,0,0,undetected,1,No,,,,0,0
140,2c1b7ac7abf18b7128d05c6e0c5feaa2d0d6abef1e246d31a8e4fde74a6e659f,file,21,0,76,27.63,Trojan:VBS/AsyncRAT!MTB,4,No,,,,0,0
141,https://textbin.net/download/x7sf6t2dgv,url,0,0,0,0,undetected,1,No,,,,0,0
142,75af3f6bc3bebbd5011b6d9fe8c3a874f6b06ad4b5c62c29f1345a7ba19e2467,file,0,0,0,0,undetected,50,No,,,,0,0
143,https://webmail.18-143-155-170.cprapid.com/,url,0,0,0,0,undetected,1,No,,,,0,0
144,24e6bbed87e62ac332712fac6cff35e3e72b5e9c54769be31899fa6ec36eb2eb,file,30,0,76,39.47,Trojan:VBS/AsyncRAT!MTB,2,No,,,,0,0
145,5efa1fd90f9c644dd24880b7174d94acf0be0f10364106faae51d81c00c3bccd,file,58,0,76,76.32,Trojan:Win32/Zombie.A,1,No,,,,0,0
146,asynpro.duckdns.org,domain,13,1,94,13.83,undetected,0,No,,,,0,0
147,87d18cd221db4017af65aa1bd3bb7dcbe4d65c902f3ceeb0ff21c715f9431e6b,file,0,0,0,0,undetected,50,No,,,,0,0
148,testedark.writesthisblog.com,domain,18,0,94,19.15,undetected,0,No,,,,0,0
149,060d6f9c0505a7709281567b10bbc91256a073ecd4fef23e3de47f5ff7aa40de,file,51,0,76,67.11,Trojan:Win32/Leonem,4,No,,,,0,0
150,874d6548b5171e5c7d462cc0a5708a6bd401437894876df9e6ecfa0bd8b57008,file,0,0,0,0,undetected,50,No,,,,0,0
151,https://updatee-facebok.com/sostener.vbs,url,0,0,0,0,undetected,2,No,,,,0,0
152,dcfast.duckdns.org,domain,12,1,94,12.77,undetected,0,No,,,,0,0
