,IOC,Type,VT Malicious,VT Suspicious,Total Engines,Severity %,Microsoft Detection,OTX Pulses,In CIRCL Dataset,Country,State,City,Latitude,Longitude
0,als-news.com,domain,4,2,94,4.26,undetected,1,No,,,,0,0
1,cannabispharmacy.com,domain,2,0,94,2.13,undetected,1,No,,,,0,0
2,cpshr.us,domain,3,0,94,3.19,undetected,1,No,,,,0,0
3,righttrailers.com,domain,2,0,94,2.13,undetected,1,No,,,,0,0
4,doccsign.it.com,domain,15,1,94,15.96,undetected,0,No,,,,0,0
5,thip.media,domain,4,1,94,4.26,undetected,1,No,,,,0,0
6,dialogteams.com,domain,7,1,94,7.45,undetected,1,No,,,,0,0
7,brightchamps.com,domain,2,0,94,2.13,undetected,1,No,,,,0,0
8,euccompany.com,domain,7,0,94,7.45,undetected,1,No,,,,0,0
9,adpages.com,domain,2,0,94,2.13,undetected,4,No,,,,0,0
10,libertywastesolutions.com,domain,2,0,94,2.13,undetected,2,No,,,,0,0
11,tampa-recovery.com,domain,2,0,94,2.13,undetected,1,No,,,,0,0
12,plantsforallseasons.com,domain,2,0,94,2.13,undetected,1,No,,,,0,0
13,wheatonchristian.org,domain,2,0,94,2.13,undetected,1,No,,,,0,0
14,macxapp.com,domain,15,1,94,15.96,undetected,4,No,,,,0,0
15,floridaliensearch.com,domain,2,0,94,2.13,undetected,1,No,,,,0,0
16,buckloadphase.fly.storage.tigris.dev,domain,3,3,94,3.19,undetected,0,No,,,,0,0
17,org-cdn-cache.s3.pl-waw.scw.cloud,domain,4,2,94,4.26,undetected,0,No,,,,0,0
18,script.google.com/macros/s/AKfycbz-SpfTsJ4qc0RlOLcEg6HMU3d5WI5fWEJ0oMiqrrc_9TLqmcLpuvGNuubpMlRaehlQQw/exec?p=1045&enHash=WasT3nSyWkM6,domain,0,0,0,0,undetected,0,No,,,,0,0
19,norfolkbotanicalgarden.org,domain,2,0,94,2.13,undetected,1,No,,,,0,0
20,vfr-actevate.com,domain,10,2,94,10.64,undetected,1,No,,,,0,0
21,gmkkeycap.com,domain,5,0,94,5.32,undetected,1,No,,,,0,0
22,dronetechplanet.com,domain,1,0,94,1.06,undetected,1,No,,,,0,0
23,velocityrecoveries.com,domain,2,0,94,2.13,undetected,1,No,,,,0,0
24,perfectgolfevent.com,domain,1,0,94,1.06,undetected,1,No,,,,0,0
25,strategicmarketingpartner.com,domain,2,1,94,2.13,undetected,1,No,,,,0,0
26,wayneradiology.com,domain,2,0,94,2.13,undetected,1,No,,,,0,0
27,clients.contology.com,domain,11,1,94,11.7,undetected,0,No,,,,0,0
28,combuktlom.fly.storage.tigris.dev,domain,3,3,94,3.19,undetected,0,No,,,,0,0
29,qrgen-ai.com,domain,4,1,94,4.26,undetected,1,No,,,,0,0
30,kapilarya.com,domain,1,0,94,1.06,undetected,1,No,,,,0,0
31,nationalmediaspots.com,domain,2,0,94,2.13,undetected,1,No,,,,0,0
32,steadfastloyalty.com,domain,2,0,94,2.13,undetected,1,No,,,,0,0
33,readability.fly.storage.tigris.dev,domain,2,2,94,2.13,undetected,0,No,,,,0,0
34,curlynikki.com,domain,2,0,94,2.13,undetected,1,No,,,,0,0
35,prosoundgear.com,domain,2,0,94,2.13,undetected,1,No,,,,0,0
36,skiffyandfanty.com,domain,2,0,94,2.13,undetected,1,No,,,,0,0
37,candlyphoto.com,domain,6,1,94,6.38,undetected,1,No,,,,0,0
38,confirm-idd787.click,domain,19,2,94,20.21,undetected,4,No,,,,0,0
39,dcu.digital,domain,5,1,94,5.32,undetected,0,No,,,,0,0
40,es.tradingkings.io,domain,2,0,94,2.13,undetected,0,No,,,,0,0
41,travelopedia.sbs,domain,12,1,94,12.77,undetected,2,No,,,,0,0
42,zq8v2kxd07fjc31r.s3.pl-waw.scw.cloud,domain,4,0,94,4.26,undetected,0,No,,,,0,0
43,starcarstn.com,domain,2,0,94,2.13,undetected,1,No,,,,0,0
44,superior-trailer.com,domain,2,0,94,2.13,undetected,1,No,,,,0,0
45,aninakuhinja.si,domain,1,0,94,1.06,undetected,1,No,,,,0,0
46,hy.disterrcleanly.shop,domain,3,2,94,3.19,undetected,0,No,,,,0,0
47,thefocuscompany.org,domain,4,1,94,4.26,undetected,1,No,,,,0,0
48,butlermortgage.ca,domain,2,0,94,2.13,undetected,1,No,,,,0,0
49,howtocookportuguesestuff.com,domain,2,0,94,2.13,undetected,2,No,,,,0,0
50,manhoodjourney.org,domain,1,0,94,1.06,undetected,1,No,,,,0,0
51,shopvonhansons.com,domain,2,0,94,2.13,undetected,1,No,,,,0,0
52,leaflifecannabis.ca,domain,2,0,94,2.13,undetected,1,No,,,,0,0
53,tulsaprocedure.com,domain,2,0,94,2.13,undetected,1,No,,,,0,0
54,companystarlink.com,domain,2,0,94,2.13,undetected,1,No,,,,0,0
55,mccallservice.com,domain,2,0,94,2.13,undetected,1,No,,,,0,0
