,IOC,Type,VT Malicious,VT Suspicious,Total Engines,Severity %,Microsoft Detection,OTX Pulses,In CIRCL Dataset,Country,State,City,Latitude,Longitude
0,kzm1o.q-fnw3pr7206ygvdebl59a84i,domain,0,0,0,0,undetected,0,No,,,,0,0
1,doccsign.it.com,domain,15,1,94,15.96,undetected,0,No,,,,0,0
2,dialogteams.com,domain,7,1,94,7.45,undetected,1,No,,,,0,0
3,prodlisle.com,domain,12,0,94,12.77,undetected,2,No,,,,0,0
4,cmb8k1nbj000008l1api07o0n.info,domain,11,1,94,11.7,undetected,3,No,,,,0,0
5,hastilybakeshop.ru,domain,16,0,94,17.02,undetected,4,No,,,,0,0
6,cubuj.press,domain,13,0,94,13.83,undetected,6,No,,,,0,0
7,windowsmsn-cn.live,domain,13,1,94,13.83,undetected,1,No,,,,0,0
8,hypertrophyhphied.homes,domain,3,1,94,3.19,undetected,1,No,,,,0,0
9,windowsmsncn.org,domain,13,1,94,13.83,undetected,1,No,,,,0,0
10,eventsdata-microsoft-live.com,domain,15,1,94,15.96,undetected,3,No,,,,0,0
11,dng-microsoftds.com,domain,9,1,94,9.57,undetected,5,No,,,,0,0
12,dngmicrosoftds.com,domain,3,0,94,3.19,undetected,1,No,,,,0,0
13,mehig.run,domain,12,1,94,12.77,undetected,5,No,,,,0,0
14,qwlpert.com,domain,12,0,94,12.77,undetected,2,No,,,,0,0
15,z98123.top  aidetector.tools,domain,0,0,0,0,undetected,0,No,,,,0,0
16,apioeses.icu,domain,16,1,94,17.02,undetected,6,No,,,,0,0
17,events-datamicrosoft.org,domain,13,0,94,13.83,undetected,3,No,,,,0,0
18,pexab.run,domain,15,0,94,15.96,undetected,3,No,,,,0,0
19,jupiters.cc,domain,11,0,94,11.7,undetected,3,No,,,,0,0
20,pornohub.vip,domain,5,1,94,5.32,undetected,1,No,,,,0,0
21,nates.press,domain,13,0,94,13.83,undetected,2,No,,,,0,0
22,wgetfiles.com,domain,15,4,94,15.96,undetected,2,No,,,,0,0
23,lurup.press,domain,15,0,94,15.96,undetected,4,No,,,,0,0
24,solidewi.com,domain,13,0,94,13.83,undetected,2,No,,,,0,0
25,taken.top,domain,5,1,94,5.32,undetected,1,No,,,,0,0
26,t1.figurefaceted.ru,domain,13,1,94,13.83,undetected,0,No,,,,0,0
27,teamsmsg-ns.com,domain,9,1,94,9.57,undetected,1,No,,,,0,0
