,IOC,Type,Total Engines,Malicious,Suspicious,Microsoft Detection,Flagged by Microsoft,In CIRCL Dataset,Severity Percentage,Error
0,cdn1124.net,domain,94,14,0,undetected,No,No,14.89,
1,cdn1701.com,domain,94,14,0,undetected,No,No,14.89,
2,cdn25.space,domain,94,14,1,undetected,No,No,14.89,
3,cdn27.space,domain,94,13,0,undetected,No,No,13.83,
4,cdn30.space,domain,94,13,0,undetected,No,No,13.83,
5,cdn31.space,domain,94,12,1,undetected,No,No,12.77,
6,cdn32.space,domain,94,15,0,undetected,No,No,15.96,
7,cdn33.space,domain,94,12,0,undetected,No,No,12.77,
8,cdn34.space,domain,94,11,1,undetected,No,No,11.7,
9,cdn35.space,domain,94,13,2,undetected,No,No,13.83,
10,cdn36.space,domain,94,12,1,undetected,No,No,12.77,
11,cdn37.space,domain,94,12,0,undetected,No,No,12.77,
12,cdn38.space,domain,94,13,1,undetected,No,No,13.83,
13,cdn40.click,domain,94,14,0,undetected,No,No,14.89,
14,cdn41.space,domain,94,16,0,undetected,No,No,17.02,
15,cdn42.space,domain,94,12,1,undetected,No,No,12.77,
16,cdn43.space,domain,94,15,0,undetected,No,No,15.96,
17,cdn45.space,domain,94,12,0,undetected,No,No,12.77,
18,cdn46.space,domain,94,14,0,undetected,No,No,14.89,
19,concur.pm,domain,94,13,0,undetected,No,No,13.83,
20,concur.re,domain,94,12,1,undetected,No,No,12.77,
21,concur.skin,domain,94,12,1,undetected,No,No,12.77,
22,eprst431.boo,domain,94,15,0,undetected,No,No,15.96,
23,investing.wf,domain,94,9,2,undetected,No,No,9.57,
24,lexisnexis.day,domain,94,14,0,undetected,No,No,14.89,
25,meet-go.click,domain,94,14,1,undetected,No,No,14.89,
26,pgadmin.link,domain,94,9,1,undetected,No,No,9.57,
27,quicken-install.com,domain,94,14,1,undetected,No,No,14.89,
28,sapconcur.pro,domain,94,9,1,undetected,No,No,9.57,
29,vkontakte.in,domain,94,11,2,undetected,No,No,11.7,
30,wall-street-journal.link,domain,94,14,2,undetected,No,No,14.89,
31,webex-install.com,domain,94,15,1,undetected,No,No,15.96,
32,winscp-install.com,domain,94,9,1,undetected,No,No,9.57,
33,workday.pm,domain,94,9,0,undetected,No,No,9.57,
34,e074d9dca6ef0edd24afb2d13ca4429def5fc5486cd4170c989ef60efd0bbb0,unknown,,,,,,No,N/A,No data found
35,d0a63e059ed2c921c37c83246cdf4de0c8bc462b7c1d4b4ecd23a24196be7dd7,file,76,32,0,Trojan:Linux/Multiverze!rfn,Yes,No,42.11,
36,773c935a13ab49cc4613b30e8d2a75f1bde3b85b0bba6303eab756d70f459693,file,76,33,0,Trojan:Linux/Multiverze,Yes,No,43.42,
37,c8dc86afd1cd46534f4f9869efaa3b6b9b9a1efaf3c259bb87000702807f5844,file,76,30,0,Trojan:Linux/Multiverze,Yes,No,39.47,
38,90c8b7f89c8a23b7a056df8fd190263ca91fe4e27bda174a9c268adbfc5c0f04,file,76,32,0,Trojan:Linux/Multiverze,Yes,No,42.11,
39,8c0606db237cfa33fa3fb99a56072063177b61fa2c8873ed6af712bba2dc56d9,file,76,31,0,Trojan:Linux/Multiverze,Yes,No,40.79,
40,2732fc2bb7b6413c899b6ac1608818e4ee9f0e5f1d14e32c9c29982eecd50f87,file,76,32,0,Adware:Linux/Multiverze,Yes,No,42.11,
41,839b3a46abee1b234c4f69acd554e494c861dcc533bb79bd0d15b9855ae1bed7,file,76,32,0,Trojan:Linux/Multiverze,Yes,No,42.11,
42,77962a384d251f0aa8e3008a88f206d6cb1f7401c759c4614e3bfe865e3e985c,file,76,34,0,Trojan:Linux/Multiverze,Yes,No,44.74,
43,57f825a556330e94d12475f21c2245fa1ee15aedd61bffb55587b54e970f1aad,file,76,19,0,Trojan:Script/Wacatac.B!ml,Yes,No,25.0,
44,44c54d9d0b8d4862ad7424c677a6645edb711a6d0f36d6e87d7bae7a2cb14d68,file,76,27,0,Backdoor:Linux/Multiverze,Yes,No,35.53,
45,c9694483c9fc15b2649359dfbd8322f0f6dd7a0a7da75499e03dbc4de2b23cad,file,76,35,0,Backdoor:Linux/Chaos.A!MTB,Yes,No,46.05,
46,080f56cea7acfd9c20fc931e53ea1225eb6b00cf2f05a76943e6cf0770504c64,file,76,33,0,HackTool:Linux/Chaos.A!MTB,Yes,No,43.42,
47,a583bdf46f901364ed8e60f6aadd2b31be12a27ffccecc962872bc73a9ffd46c,file,76,36,0,Adware:Linux/Multiverze,Yes,No,47.37,
48,a364ec51aa9314f831bc498ddaf82738766ca83b51401f77dbd857ba4e32a53b,file,76,35,0,Adware:Linux/Multiverze,Yes,No,46.05,
49,a6307aad70195369e7ca5575f1ab81c2fd82de2fe561179e38933f9da28c4850,file,76,36,0,Adware:Linux/Multiverze,Yes,No,47.37,
50,c39184aeb42616d7bf6daaddb9792549eb354076b4559e5d85392ade2e41763e,file,76,31,0,Adware:Linux/Multiverze,Yes,No,40.79,
51,67534c144a7373cacbd8f9bd9585a2b74ddbb03c2c0721241d65c62726984a0a,file,76,30,0,Program:Linux/Multiverze,Yes,No,39.47,
52,719082b1e5c0d18cc0283e537215b53a864857ac936a0c7d3ddbaf7c7944cf79,file,76,30,0,Program:Linux/Multiverze,Yes,No,39.47,
