,IOC,Type,VT_Malicious,VT_Suspicious,Total Engines,Severity %,Microsoft Detection,OTX Pulses,In CIRCL Dataset,Country,State,City,Latitude,Longitude
0,86.104.72.208,ip_address,2,1,94,2.13,undetected,8,No,United States,New Jersey,Secaucus,40.7876,-74.06
1,lexisnex.top,domain,11,1,94,11.7,undetected,10,No,,,,0,0
2,d73af3bd70f0f68846920d61fab8836cf8906a2876489801f6e130f4d92aa50d,file,21,0,76,27.63,Trojan:Win32/Seheq!rfn,4,No,,,,0,0
3,41be156c27dad780dd96493319dbd89228616573ec7d731ca2e642ee0e554af3,file,24,0,76,31.58,Trojan:PowerShell/Powdow.HBT!MTB,2,No,,,,0,0
4,c0ncuur.com,domain,4,0,94,4.26,undetected,2,No,,,,0,0
5,as-a-n4.com,domain,3,0,94,3.19,undetected,2,No,,,,0,0
6,45.89.53.110,ip_address,1,0,94,1.06,undetected,2,No,United States,New Jersey,Secaucus,40.7876,-74.06
7,85.209.134.64,ip_address,5,0,94,5.32,undetected,3,No,United States,New Jersey,Secaucus,40.7895,-74.0565
8,meet.com.de,domain,11,1,94,11.7,undetected,0,No,,,,0,0
9,bc5c7fc357244b8cdb1d79c545c4ac5d20ba770d028dd4bc66a00dd4ba2679fa,file,8,0,76,10.53,,2,No,,,,0,0
10,5.180.24.50,ip_address,2,0,94,2.13,undetected,2,No,United States,New Jersey,Secaucus,40.7876,-74.06
11,concur-sap.life,domain,13,0,94,13.83,undetected,2,No,,,,0,0
12,982ec3915d458007e960a4dbe0c9c914825fd88c1739ab3f7edfebaaa10bc265,file,26,0,76,34.21,Trojan:PowerShell/Powdow.HBT!MTB,3,No,,,,0,0
13,e8c56706296175195a03348b9cd5064e60c36fdeaa6e5fd7b5614ca6bca1c3f8,file,21,0,76,27.63,HackTool:PowerShell/Malgent!MSR,2,No,,,,0,0
14,86.104.72.19,ip_address,3,0,94,3.19,undetected,8,No,United States,New Jersey,Secaucus,40.7876,-74.06
15,c6e672b832dcf78490ea8d128f5f8a647274b9b98d851bc36ff07b2d3a0d7ba3,file,17,0,76,22.37,Trojan:PowerShell/Powdow.HBT!MTB,2,No,,,,0,0
16,7zip2024.one,domain,15,0,94,15.96,undetected,2,No,,,,0,0
17,4b268cfbdb86017f6271f09eb2aa54334de24d0ed12cfeb26fbb3dd8e104a8d3,file,23,0,76,30.26,,2,No,,,,0,0
18,2024-aimp.info,domain,12,0,94,12.77,undetected,10,No,,,,0,0
19,2024aimp.top,domain,5,0,94,5.32,undetected,2,No,,,,0,0
20,concur24news.one,domain,4,0,94,4.26,undetected,2,No,,,,0,0
21,2024concur.com,domain,2,0,94,2.13,undetected,2,No,,,,0,0
22,7-zip.day,domain,15,0,94,15.96,undetected,2,No,,,,0,0
23,7zip1024.life,domain,6,0,94,6.38,undetected,2,No,,,,0,0
24,73e775fc0e1a4780a06fda4f21cca16c1dd9eda57fc8a0ab4fb14ebe5a259eac,file,11,0,76,14.47,Trojan:Win32/Alevaul!rfn,2,No,,,,0,0
25,7zip10-2024.life,domain,16,0,94,17.02,undetected,2,No,,,,0,0
26,asanaa.net,domain,4,0,94,4.26,undetected,2,No,,,,0,0
27,lexisnexises.net,domain,6,0,94,6.38,undetected,2,No,,,,0,0
28,138.124.183.79,ip_address,7,1,94,7.45,undetected,3,No,United States,New Jersey,Secaucus,40.7876,-74.06
29,c0oncur.com,domain,4,0,94,4.26,undetected,7,No,,,,0,0
30,20247zip.one,domain,6,1,94,6.38,undetected,2,No,,,,0,0
31,wal-streetjournal.com,domain,12,1,94,12.77,undetected,8,No,,,,0,0
32,acbed908bc3e804ad183f3598dfb379a366f6209462f5fffc77fc9231ae1b048,file,0,0,76,0,,2,No,,,,0,0
33,809050c6f29e80e9d0918060634df601ae12b27cc50439f4c123b6301ce26043,file,14,0,76,18.42,Trojan:Win32/Seheq!rfn,2,No,,,,0,0
34,194.87.82.252,ip_address,2,0,94,2.13,undetected,2,No,The Netherlands,North Holland,Amsterdam,52.3759,4.8975
35,52ef3b610426343314e6c0f238e4460f0dffedbd022d33cb8f8e78e980d604e0,file,25,0,76,32.89,,2,No,,,,0,0
36,sapconcur.pro,domain,11,1,94,11.7,undetected,10,No,,,,0,0
37,lexisnexis.top,domain,11,0,94,11.7,undetected,10,No,,,,0,0
38,news-cnn.net,domain,2,0,94,2.13,undetected,2,No,,,,0,0
39,2024-7zip-10.shop,domain,9,0,94,9.57,undetected,2,No,,,,0,0
40,809b54b0f6092cad1a764872acb9a31ed99792589b84cdb279b4b1d15e8ec8e2,file,21,0,76,27.63,,2,No,,,,0,0
41,concurnews.one,domain,4,0,94,4.26,undetected,2,No,,,,0,0
