,IOC,Type,VT Malicious,VT Suspicious,Total Engines,Severity %,Microsoft Detection,OTX Pulses,In CIRCL Dataset,Country,State,City,Latitude,Longitude
0,metritono.com,domain,3,1,94,3.19,undetected,1,No,,,,0,0
1,c33723a6c0ece4f790396f5fd5133cf384143736e6acd06e1d7642c04757bbae,file,52,0,76,68.42,Trojan:Win32/Alevaul!rfn,1,No,,,,0,0
2,pasaaportes-citas-srre-gob.com,domain,1,1,94,1.06,undetected,1,No,,,,0,0
3,e4a6be2fb70603f1545641240680b44e21b5601e8016c0d144711423eef9778e,file,55,0,76,72.37,TrojanDownloader:MSIL/AllakoreRat.CCHD!MTB,15,No,,,,0,0
4,681b15a43925e02d7f4f0c9e554e8d73e230931ce6634f49dd5b204afd03d20c,file,55,0,76,72.37,TrojanDownloader:MSIL/AllakoreRat.CCHD!MTB,1,No,,,,0,0
5,pachisuave.com,domain,7,0,94,7.45,undetected,1,No,,,,0,0
6,f5adef8c202e62125be49f748ed3b30b34e0fb2c9539c805dd96a75a26c7ddc4,file,54,0,76,71.05,Trojan:Win32/Alevaul!rfn,1,No,,,,0,0
7,mepunico.com,domain,1,1,94,1.06,undetected,1,No,,,,0,0
8,32ef3a0da762bc88afb876537809350a885bbbc3ec59b1838e9e9ccc0a04b081,file,48,0,76,63.16,Trojan:Win32/Casdet!rfn,1,No,,,,0,0
9,12557dcf9c9a609521d7a2cc84a7e6fb95a93957aed6bda0f9644e96dfbbc180,file,55,0,76,72.37,TrojanDownloader:MSIL/AllakoreRat.CCHD!MTB,1,No,,,,0,0
10,b9bb43b725a454e826ab64fdd6256af809c60119dab2876d081b3721d226c672,file,7,0,76,9.21,Trojan:Win32/Malgent!MTB,1,No,,,,0,0
11,79a5ac15d0de66df3dd00a4148aa76dc183ebf47553fbcc5355f4902dc981267,file,51,0,76,67.11,,1,No,,,,0,0
12,cupertujo.com,domain,3,1,94,3.19,undetected,1,No,,,,0,0
13,capitolioeventos.com,domain,1,0,94,1.06,undetected,1,No,,,,0,0
14,974c221c75c35d03dd2158d1d1a0a72a7ae85a6f7c1c729977f3676f946758ee,file,30,0,76,39.47,,1,No,,,,0,0
15,dc409e9fa8b8c031c347d9c36f5732ea03e246c29d73e3425e4e8aaa1da6ff7c,file,51,0,76,67.11,Trojan:Win32/Alevaul!rfn,1,No,,,,0,0
16,mx-terrasabvia.com,domain,0,0,94,0,undetected,1,No,,,,0,0
17,trenipono.com,domain,3,0,94,3.19,undetected,1,No,,,,0,0
18,5d16547900119112c12a755e099bed1fafe1890869df4db297a6a21ec40185b0,file,51,0,76,67.11,Trojan:Win32/Casbaneiro.MX!MTB,1,No,,,,0,0
19,c3e7089e47e5c9fc896214bc44d35608854cd5fa70ae5c19aadb0748c6b353d6,file,27,0,76,35.53,,1,No,,,,0,0
