,IOC,Type,Total Engines,Malicious,Suspicious,Microsoft Detection,Flagged by Microsoft,In CIRCL Dataset,Severity Percentage
0,7e41649bdde91d0b1c3e8dab6ff49c8487a200febeaa8dc0fc25dc77a3924df8,file,76,29,0,Trojan:Win32/Leonem!rfn,Yes,No,38.16
1,818ef3d013069a7bacd3bf4d4a728ace9ea74ab518fb4adffcc0a23f57e4b585,file,75,56,0,Trojan:MSIL/Zilla.ZLY!MTB,Yes,No,74.67
2,84b6141491bfc6277b4d2446ae5f97858f3b102804dc525239c02f12a889650c,file,76,58,0,Backdoor:MSIL/Quasar!atmn,Yes,No,76.32
3,8ad7d50075f254b758085711870af8f7172346526662fd1174e48355f776a119,file,76,48,0,Program:Win32/Wacapew.C!ml,Yes,No,63.16
4,8efa4b4e70869e4c2c7119e5c1518c8166141e6376d7d95768b932fe083bc1ae,file,76,23,0,Trojan:VBS/AsyncRAT!MTB,Yes,No,30.26
5,8fd804d664127a9fe36dae01487103deaa045859a0d8c4d801dd476ccbc238e3,file,76,61,0,Backdoor:MSIL/Quasar!atmn,Yes,No,80.26
6,9299eddf62904e0b0c32dca0aa811bd686b3d2a0f3c942617b2c5f9c725e110c,file,76,58,0,Trojan:MSIL/Malgent!MSR,Yes,No,76.32
7,9367d8520bf58974c905eac5bff5b8587512858b80c501570c9f667fd66489d5,file,76,62,0,Backdoor:MSIL/Quasar!atmn,Yes,No,81.58
8,95466b79ae22a8377ba626f5ba91dec6836fa5eff7990b79b9bcf99ea418c173,file,76,27,0,Trojan:Win32/Wacatac.B!ml,Yes,No,35.53
9,9561297904b4f8612f2f869397741bbeeb5f0b60948e292057cf000978f1bcd2,file,76,49,0,Trojan:Win32/Leonem!rfn,Yes,No,64.47
10,a3861f46b700880428221f28901d22f0758d8fd4b9e102d214547f0aa51c41f5,file,76,48,0,Trojan:Win32/Wacatac.B!ml,Yes,No,63.16
11,a52b33c2572c422ec71d9814de6223b9b54bd71f0fad14c0df3e86676fc913cc,file,75,58,0,Trojan:MSIL/PhemedroneStealer.NIT!MTB,Yes,No,77.33
12,a6d80c48e2d6616f9731dde9b60ece9ebc733e86e0879a6f193b9b63ad4177b8,file,76,58,0,Trojan:Win32/LummaStealer.DSK4!MTB,Yes,No,76.32
