,IOC,Type,VT Malicious,VT Suspicious,Total Engines,Severity %,Microsoft Detection,OTX Pulses,In CIRCL Dataset,Country,State,City,Latitude,Longitude
0,https://cloud.synologyupdates.com,url,0,0,0,0,undetected,3,No,,,,0,0
1,3bb550e775946e2ea276987aefe0e093122675051b2d072f4f2c5558e11ff723,file,0,0,0,0,undetected,1,No,,,,0,0
2,https://114.114.114.114:801,url,0,0,0,0,undetected,50,No,,,,0,0
3,http://105.0.0.0,url,0,0,0,0,undetected,14,No,,,,0,0
4,sangsoft.net,domain,7,1,94,7.45,undetected,2,No,,,,0,0
5,http://114.114.114.114:9421/,url,0,0,0,0,undetected,50,No,,,,0,0
6,tdkf7.star1ine.com,domain,1,1,94,1.06,undetected,0,No,,,,0,0
7,http://114.114.114.114:53/index.html,url,0,0,0,0,undetected,50,No,,,,0,0
8,http://cloud.synologyupdates.com,url,0,0,0,0,undetected,3,No,,,,0,0
9,http://114.114.114.114:9421/proxycontrolwarn/,url,0,0,0,0,undetected,50,No,,,,0,0
10,be3eb5e138949f2a1571928633f7b4293fe71585601dcfdff98270ce88c14a0a,file,56,0,76,73.68,Trojan:Win32/Sfuzuan.EN!MTB,1,No,,,,0,0
11,wechatutilities.com,domain,7,2,94,7.45,undetected,2,No,,,,0,0
12,tracking.doubleclicked.com,domain,7,1,94,7.45,undetected,0,No,,,,0,0
13,zs12.vip,domain,0,0,94,0,undetected,4,No,,,,0,0
14,1152ca0261d06ebaed6b6dbf66657bbcce27d0c1c4b04b1f5ca07f0394e3c12b,file,48,0,76,63.16,Trojan:Win64/Gulpix.RPX!MTB,1,No,,,,0,0
15,christo.asia,domain,1,0,94,1.06,undetected,3,No,,,,0,0
16,zhbf.star1ine.com,domain,11,0,94,11.7,undetected,0,No,,,,0,0
17,72577536ec131d957fb95035b8d6a47b60e229f5a51a712b53487e0d99431c60,file,48,0,76,63.16,Trojan:Win64/Gulpix.RPX!MTB,1,No,,,,0,0
18,http://114.114.114.114/d?dn=,url,0,0,0,0,undetected,0,No,,,,0,0
19,osafrck63.xyz,domain,0,0,94,0,undetected,4,No,,,,0,0
20,214530f53b9dab9251c3687f90ec1d783127f182fc12cb6aecce1da2dd05e091,file,49,0,76,64.47,Trojan:Win64/Gulpix.RPX!MTB,1,No,,,,0,0
21,lvusdupdates.org,domain,3,0,94,3.19,undetected,1,No,,,,0,0
22,ms-nipre.com,domain,7,2,94,7.45,undetected,2,No,,,,0,0
23,doubleclicked.com,domain,3,1,94,3.19,undetected,1,No,,,,0,0
24,97b7a9ba40a1c948dfb7e8f269f7ad44bf77d34a75832e388e5f2c83432f551c,file,57,0,76,75,Trojan:Win32/Doina.MBJE!MTB,1,No,,,,0,0
25,8084da880596371d74fe5698074e6fdadebb2c3d3f44e45bf607190018ecfaa9,file,48,0,76,63.16,Trojan:Win64/Gulpix.RPX!MTB,1,No,,,,0,0
26,68f6155a052e3bf971290ab78cb732f6930445e3c5f80fea3e42d7ba19fc6ccd,file,56,0,76,73.68,Trojan:Win64/Gulpix.RPX!MTB,1,No,,,,0,0
27,114.114.114.114,ip_address,0,1,94,0,undetected,50,No,China,Shandong,Qingdao,36.0662,120.383
28,http://114.114.114.114/match,url,0,0,0,0,undetected,50,No,,,,0,0
29,4fb2b6eb4d823eedb4f9425d7b1d23700bd8103ccdde65ec5a6b1e8e7463e10f,file,50,0,76,65.79,Trojan:Win64/Gulpix.RPX!MTB,1,No,,,,0,0
30,http://114.114.114.114/exploit.html,url,0,0,0,0,undetected,5,No,,,,0,0
31,hk3222.net,domain,0,0,94,0,undetected,4,No,,,,0,0
32,914f89c71a3967d54807ea11d644452d13638475e34a8a720dc3e39658a127f7,file,57,0,76,75,Trojan:Win64/Gulpix.RPX!MTB,1,No,,,,0,0
33,fastapi-cdn.com,domain,8,1,94,8.51,undetected,2,No,,,,0,0
34,synologyupdates.com,domain,8,1,94,8.51,undetected,4,No,,,,0,0
35,daihou360.com,domain,3,1,94,3.19,undetected,1,No,,,,0,0
36,http://114.114.114.114/__utm.gif,url,0,0,0,0,undetected,50,No,,,,0,0
37,dashboard.daihou360.com,domain,7,1,94,7.45,undetected,0,No,,,,0,0
38,zhdxj.star1ine.com,domain,14,0,94,14.89,undetected,0,No,,,,0,0
39,dc56e2908b4e25f0a75b35c8713c30a09b649f0dcc547052c09858fda763d0aa,file,48,0,76,63.16,Trojan:Win64/Gulpix.RPX!MTB,1,No,,,,0,0
40,http://114.114.114.114/ipw.ps1,url,0,0,0,0,undetected,50,No,,,,0,0
41,d3996ec0bad6648a15adbdb1aef94096f66f54378513162dbf747883ee927ee0,file,0,0,0,0,undetected,1,No,,,,0,0
42,haprxy.org,domain,3,1,94,3.19,undetected,1,No,,,,0,0
43,42db643ec5d290b13b0934f7a31fd3ab5751c5c1b0c386b76e304438eff671b3,file,48,0,76,63.16,Trojan:Win64/Gulpix.RPX!MTB,1,No,,,,0,0
44,http://114.114.114.114:44567/login?uri=y3rszgwud2luzg93c3vwzgf0zs5jb20vbxnkb3dubg9hzc91cgrhdguvdjmvc3rhdgljl3rydxn0zwryl2vul2rpc2fsbg93zwrjzxj0c3rslmnhyj8zmmq2nzzmy2i4odywnwzm,url,0,0,0,0,undetected,0,No,,,,0,0
45,sdycs.star1ine.com,domain,8,1,94,8.51,undetected,0,No,,,,0,0
46,ttd.star1ine.com,domain,10,1,94,10.64,undetected,0,No,,,,0,0
47,chinapoetry.top,domain,0,0,94,0,undetected,3,No,,,,0,0
48,http://114.114.114.114:90/p/cdbdd4a09a64909694281aec503746fd/mobile_index.html?MTE0LjExNC4xMTQuMTE0L2xvZ2luP2hhc19vcmlfdXJp,url,0,0,0,0,undetected,0,No,,,,0,0
49,update.saperpcloud.com,domain,7,1,94,7.45,undetected,0,No,,,,0,0
50,rhel.lvusdupdates.org,domain,7,0,94,7.45,undetected,0,No,,,,0,0
51,http://114.114.114.114:7777/c/msdownload/update/others/2022/01/29136388_,url,0,0,0,0,undetected,50,No,,,,0,0
52,http://114.114.114.114:8080/,url,0,0,0,0,undetected,50,No,,,,0,0
53,6b3215d2bedd42bbac8bb7d2dc4bb160aa395a21f7cd02de7295c1b90dd7e3fc,file,55,0,76,72.37,Trojan:Win32/Sfuzuan.EN!MTB,1,No,,,,0,0
54,ccproxy.org,domain,4,0,94,4.26,undetected,1,No,,,,0,0
55,http://114.114.114.114:44567/login?uri=y3rszgwud2luzg93c3vwzgf0zs5jb20vbxnkb3dubg9hzc91cgrhdguvdjmvc3rhdgljl3rydxn0zwryl2vul2rpc2fsbg93zwrjzxj0c3rslmnhyj82mgi5yzcwodhhzdbiodez,url,0,0,0,0,undetected,0,No,,,,0,0
56,fyaran.mlcrosoft.cyou,domain,3,3,94,3.19,undetected,0,No,,,,0,0
57,c87271bb84122c985d692baf1a78328e8cbbf704d336de65eab18767c291135d,file,54,0,76,71.05,Trojan:Win32/Sfuzuan.EN!MTB,1,No,,,,0,0
58,threatbookav.com,domain,7,2,94,7.45,undetected,2,No,,,,0,0
59,e-mailrelay.com,domain,8,2,94,8.51,undetected,2,No,,,,0,0
60,liveupdate.wsupdatecloud.net,domain,8,1,94,8.51,undetected,0,No,,,,0,0
