,IOC,Type,VT Malicious,VT Suspicious,Total Engines,Severity %,Microsoft Detection,OTX Pulses,In CIRCL Dataset,Country,State,City,Latitude,Longitude
0,aws-us4.com,domain,9,1,94,9.57,undetected,3,No,,,,0,0
1,mysandgrid.com,domain,9,0,94,9.57,undetected,3,No,,,,0,0
2,sso-gservices.com,domain,9,2,94,9.57,undetected,3,No,,,,0,0
3,provider.ssogservices.com,domain,9,0,94,9.57,undetected,0,No,,,,0,0
4,https-sendgrid.com,url,0,0,0,0,undetected,0,No,,,,0,0
5,server-sendlogin.com,domain,6,1,94,6.38,undetected,3,No,,,,0,0
6,sgportalexecutive.org,domain,6,1,94,6.38,undetected,3,No,,,,0,0
7,sgaccountsettings.com,domain,9,0,94,9.57,undetected,3,No,,,,0,0
8,sendgrid.aws-us3.com,domain,14,0,94,14.89,undetected,0,No,,,,0,0
9,gloginservicesaccount.com,domain,4,1,94,4.26,undetected,1,No,,,,0,0
10,sso-glogin.com,domain,5,1,94,5.32,undetected,1,No,,,,0,0
11,portal-sendgrld.com,domain,7,1,94,7.45,undetected,3,No,,,,0,0
12,sgsettings.live,domain,9,0,94,9.57,undetected,3,No,,,,0,0
13,login.portal-sendgrld.com,domain,8,1,94,8.51,undetected,0,No,,,,0,0
14,signon-directory.com,domain,8,0,94,8.51,undetected,3,No,,,,0,0
15,sendgrid.executiveteaminvite.com,file,0,0,0,0,undetected,0,No,,,,0,0
16,network-sendgrid.com,domain,10,2,94,10.64,undetected,3,No,,,,0,0
17,https-sgportal.com,url,0,0,0,0,undetected,0,No,,,,0,0
18,1send.grid-sso.com,domain,10,0,94,10.64,undetected,0,No,,,,0,0
19,https-loginsg.com,url,0,0,0,0,undetected,0,No,,,,0,0
20,mange-accountsecurity.com,domain,8,1,94,8.51,undetected,3,No,,,,0,0
21,securehttps-sgservices.com,domain,13,0,94,13.83,undetected,3,No,,,,0,0
22,sg.usportalhelp.com,domain,15,0,94,15.96,undetected,0,No,,,,0,0
23,https-sgpartners.info,url,0,0,0,0,undetected,0,No,,,,0,0
24,https-sendgrid.info,url,0,0,0,0,undetected,0,No,,,,0,0
25,sendgr.id-unlink.com,domain,13,0,94,13.83,undetected,0,No,,,,0,0
26,ssogservices.com,domain,11,0,94,11.7,undetected,4,No,,,,0,0
27,dashboard.navigate-sendgrid.com,domain,6,1,94,6.38,undetected,0,No,,,,0,0
28,device-sendgrid.com,domain,11,1,94,11.7,undetected,3,No,,,,0,0
29,navigate-sendgrid.com,domain,8,1,94,8.51,undetected,3,No,,,,0,0
30,loginportalsg.com,domain,15,0,94,15.96,undetected,4,No,,,,0,0
31,send.grid-network.com,domain,6,0,94,6.38,undetected,0,No,,,,0,0
32,sso.portal-sendgrld.com,domain,6,0,94,6.38,undetected,0,No,,,,0,0
33,grid-sendlogin.com,domain,15,0,94,15.96,undetected,3,No,,,,0,0
34,okta.login-request.com,domain,11,0,94,11.7,undetected,0,No,,,,0,0
35,appeal.grid-secureaccount.com,domain,3,0,94,3.19,undetected,0,No,,,,0,0
36,diamond.portal-sendgrld.com,domain,4,0,94,4.26,undetected,0,No,,,,0,0
37,legalcompliance-login.com,domain,16,0,94,17.02,undetected,3,No,,,,0,0
38,sso-sendgridnetwork.com,domain,4,0,94,4.26,undetected,2,No,,,,0,0
39,services-goo.com,domain,15,0,94,15.96,undetected,3,No,,,,0,0
40,sgupgradegold.com,domain,4,2,94,4.26,undetected,1,No,,,,0,0
41,sendgrid.service-settings.com,domain,13,0,94,13.83,undetected,0,No,,,,0,0
42,okta.login-enterprisesso.com,domain,13,1,94,13.83,undetected,0,No,,,,0,0
43,https-sglogin.com,url,0,0,0,0,undetected,0,No,,,,0,0
44,send.grid-secureaccount.com,domain,3,1,94,3.19,undetected,0,No,,,,0,0
45,managerewards-cbexchange.com,domain,11,1,94,11.7,undetected,2,No,,,,0,0
46,service-settings.com,domain,13,0,94,13.83,undetected,3,No,,,,0,0
47,sendgrid.production-us12.com,domain,7,0,94,7.45,undetected,0,No,,,,0,0
48,internal-ssologin.com,domain,10,0,94,10.64,undetected,3,No,,,,0,0
49,sendgrid.aws-us5.com,domain,15,0,94,15.96,undetected,0,No,,,,0,0
50,session.ssogservices.com,domain,8,0,94,8.51,undetected,0,No,,,,0,0
51,sso-accountservices.com,domain,16,2,94,17.02,undetected,3,No,,,,0,0
52,terminateloginsession.com,domain,3,1,94,3.19,undetected,1,No,,,,0,0
53,secure-ssologins.com,domain,3,1,94,3.19,undetected,1,No,,,,0,0
54,send.grid-authority.com,domain,11,0,94,11.7,undetected,0,No,,,,0,0
55,okta.ssologinservices.net,domain,6,0,94,6.38,undetected,0,No,,,,0,0
56,gsecurelogin.com,domain,5,1,94,5.32,undetected,1,No,,,,0,0
57,aws-us3-manageprod.com,domain,6,1,94,6.38,undetected,2,No,,,,0,0
58,myhubservices.com,domain,4,2,94,4.26,undetected,2,No,,,,0,0
