,IOC,Type,VT Malicious,VT Suspicious,Total Engines,Severity %,Microsoft Detection,OTX Pulses,In CIRCL Dataset,Country,State,City,Latitude,Longitude
0,6510d460395ca3643133817b40d9df4fa0d9dbe8e60b514fdc2d4e26b567dfbd,file,0,0,0,0,undetected,7,No,,,,0,0
1,oncehub.co,domain,7,1,95,7.37,undetected,7,No,,,,0,0
2,lmaxtrd.com,domain,11,1,95,11.58,undetected,9,No,,,,0,0
3,85045d9898d28c9cdc4ed0ca5d76eceb457d741c5ca84bb753dde1bea980b516,file,0,0,0,0,undetected,7,No,,,,0,0
4,192.52.166.253,ip_address,5,1,95,5.26,undetected,7,No,United States,California,Los Angeles,34.0483,-118.255
5,jdkgradle.com,domain,17,1,95,17.89,undetected,21,No,,,,0,0
6,latamics.org,domain,16,1,95,16.84,undetected,9,No,,,,0,0
7,calendly.live,domain,6,4,95,6.32,undetected,7,No,,,,0,0
8,dpkgrepo.com,domain,8,1,95,8.42,undetected,7,No,,,,0,0
9,aes-secure.net,domain,6,2,95,6.32,undetected,7,No,,,,0,0
10,37f5afb9ed3761e73feb95daceb7a1fdbb13c8b5fc1a2ba22e0ef7994c7920ef,file,0,0,0,0,undetected,7,No,,,,0,0
11,picktime.live,domain,6,1,95,6.32,undetected,7,No,,,,0,0
12,aa4a2d1215f864481994234f13ab485b95150161b4566c180419d93dda7ac039,file,18,0,76,23.68,Trojan:Win32/Alevaul!rfn,9,No,,,,0,0
13,www.plexisco.com,domain,8,1,95,8.42,undetected,0,No,,,,0,0
14,24d5dd3006c63d0f46fb33cbc1f576325d4e7e03e3201ff4a3c1ffa604f1b74a,file,34,0,76,44.74,PUA:Win32/FRProxy,38,No,,,,0,0
15,go.oncehub.co,domain,9,1,95,9.47,undetected,0,No,,,,0,0
16,pypistorage.com,domain,10,1,95,10.53,undetected,7,No,,,,0,0
17,azureglobalaccelerator.com,domain,6,2,95,6.32,undetected,7,No,,,,0,0
18,1a051e4a3b62cd2d4f175fb443f5172da0b40af27c5d1ffae21fde13536dd3e1,file,0,0,0,0,undetected,7,No,,,,0,0
19,159471e1abc9adf6733af9d24781fbf27a776b81d182901c2e04e28f3fe2e6f3,file,40,0,76,52.63,Trojan:Win32/Alevaul!rfn,9,No,,,,0,0
20,5e40d106977017b1ed235419b1e59ff090e1f43ac57da1bb5d80d66ae53b1df8,file,42,0,76,55.26,Trojan:MacOS/Nukesped!MTB,45,No,,,,0,0
21,2c164237de4d5904a66c71843529e37cea5418cdcbc993278329806d97a336a5,file,0,0,0,0,undetected,7,No,,,,0,0
22,pypilibrary.com,domain,6,2,95,6.32,undetected,7,No,,,,0,0
23,azuredeploypackages.net,domain,12,3,95,12.63,undetected,9,No,,,,0,0
24,paxosfuture.com,domain,11,1,95,11.58,undetected,9,No,,,,0,0
25,ftxstock.com,domain,12,1,95,12.63,undetected,9,No,,,,0,0
26,c66ba5c68ba12eaf045ed415dfa72ec5d7174970e91b45fda9ebb32e0a37784a,file,0,0,0,0,undetected,7,No,,,,0,0
27,4715e5522fc91a423a5fcad397b571c5654dc0c4202459fdca06841eba1ae9b3,file,0,0,0,0,undetected,7,No,,,,0,0
28,4f6ae0110cf652264293df571d66955f7109e3424a070423b5e50edc3eb43874,file,0,0,0,0,undetected,7,No,,,,0,0
29,f0321c93c93fa162855f8ea4356628eef7f528449204f42fbfa002955a0ba528,file,0,0,0,0,undetected,7,No,,,,0,0
30,ff32bc1c756d560d8a9815db458f438d63b1dcb7e9930ef5b8639a55fa7762c9,file,0,0,0,0,undetected,7,No,,,,0,0
31,d998de6e40637188ccbb8ab4a27a1e76f392cb23df5a6a242ab9df8ee4ab3936,file,0,0,0,0,undetected,7,No,,,,0,0
32,59a651dfce580d28d17b2f716878a8eff8d20152b364cf873111451a55b7224d,file,0,0,0,0,undetected,7,No,,,,0,0
33,arcashop.org,domain,13,2,95,13.68,undetected,13,No,,,,0,0
34,973f7939ea03fd2c9663dafc21bb968f56ed1b9a56b0284acf73c3ee141c053c,file,37,0,76,48.68,Trojan:Linux/Nukesped!MTB,18,No,,,,0,0
35,9dddf5a1d32e3ba7cc27f1006a843bfd4bc34fa8a149bcc522f27bda8e95db14,file,25,0,76,32.89,Trojan:Win32/Kepavll!rfn,0,No,,,,0,0
36,8c3c8f24dc0c1d165f14e5a622a1817af4336904a3aabeedee3095098192d91f,file,47,0,76,61.84,Trojan:Win32/Alevaul!rfn,9,No,,,,0,0
37,144.172.74.120,ip_address,7,1,95,7.37,undetected,3,No,United States,Florida,Miami,25.7838,-80.1823
38,3c8f5cc608e3a4a755fe1a2b099154153fb7a88e581f3b122777da399e698cca,file,0,0,0,0,undetected,7,No,,,,0,0
39,www.natefi.org,domain,12,1,95,12.63,undetected,0,No,,,,0,0
40,keondigital.com,domain,10,3,95,10.53,undetected,9,No,,,,0,0
41,f4d8e1a687e7f7336162d3caed9b25d9d3e6cfe75c89495f75a92ca87025374b,file,0,0,0,0,undetected,7,No,,,,0,0
42,7a05188ab0129b0b4f38e2e7599c5c52149ce0131140db33feb251d926428d68,file,0,0,0,0,undetected,7,No,,,,0,0
43,e4ce73b4dbbd360a17f482abcae2d479bc95ea546d67ec257785fa51872b2e3f,file,0,0,0,0,undetected,7,No,,,,0,0
44,cc4c18fefb61ec5b3c69c31beaa07a4918e0b0184cb43447f672f62134eb402b,file,0,0,0,0,undetected,7,No,,,,0,0
45,nansenpro.com,domain,1,1,95,1.05,undetected,7,No,,,,0,0
