,IOC,Type,VT Malicious,VT Suspicious,Total Engines,Severity %,Microsoft Detection,OTX Pulses,In CIRCL Dataset,Country,State,City,Latitude,Longitude
0,0e513c0b3ceded6cd17a2744d7f757670e92451eb2cf7527d08375a0fc924aa0,file,0,0,76,0,,0,No,,,,0,0
1,fea9c9d21a929cd957caf5438eb2057aee9a55199d2b34dbfb654cba0d8b66fb,file,0,0,76,0,,0,No,,,,0,0
2,2c6ef0cd48b321947681103daeb5ee9f66f0f24084196363aa58fa76f301af93,file,3,0,76,3.95,,0,No,,,,0,0
3,1fb37d4bfc87640a404845909974e3d4e892d0631316a8e6eaa43625cde7be05,file,8,0,76,10.53,,1,No,,,,0,0
4,2484f9aa727f66205a61e9c57c4ef7edb39eb1fc06b7f8301375aaf6d91cab9b,file,0,0,76,0,,0,No,,,,0,0
5,bd0bf415a714a30b226b695e05d89989dfaa9f844a530ce8383bcf5b6a6e5f1d,file,0,0,76,0,,0,No,,,,0,0
6,da2318976207cccfc4c565964fd7aed107dff6c70aa19c99d41c09815fbc9521,file,8,0,76,10.53,,1,No,,,,0,0
7,0cc255ffecf80e88682036740b7c22b95c80f9abae2dcce0d89a6d46f28f596b,file,0,0,76,0,,0,No,,,,0,0
8,348ac58fe8a06831cc2e22c031ce942a715f005987ff40a88f41ccffab099717,file,9,0,76,11.84,,0,No,,,,0,0
9,1c571bc2e91ae6926304f5c3e05e2df5c7c28f9ad694c1790740992336718145,file,0,0,76,0,,0,No,,,,0,0
10,ca3bc815ea302c1e5ab9e20f355bb1d84a3f821c7d4b9bb11e4d5ed37f67ee34,file,0,0,76,0,,0,No,,,,0,0
11,c5ee1f8a167daa8efbfd422672fb73341a4693924c1ffad6e9af0f2f63f3655b,file,9,0,76,11.84,,1,No,,,,0,0
12,1334df466a716e98c9e336af57826d45bd8065a4bc3e3c64c324fe312698c7c3,file,5,0,76,6.58,,1,No,,,,0,0
13,bb5bd1a91fcc83dea25cbb226e41b0fef86e133554cdb45cd0ad5366552e39d7,file,0,0,76,0,,0,No,,,,0,0
14,e5334e403924a80fe0d1d5ea54ecac56164aa7e3af633073cbb252e2cf1def1e,file,8,0,76,10.53,,1,No,,,,0,0
15,f12faeda3af148cf8f6224119fdd243f43ca55e18cbcacabf5ce4c8474f094d3,file,8,0,76,10.53,,0,No,,,,0,0
16,e214eecf4b17f85da823f5b2abecef3cab5073faab4360773e629c98553c1193,file,0,0,76,0,,0,No,,,,0,0
17,213b98e0dd1399c495fcd8e7e5a7f729249ad8daca9743563b2ec18edbb88a04,file,9,0,76,11.84,,1,No,,,,0,0
18,31fb64ad4e3dd63dbe97afdd9dfd954e2815e4ccf2943d72b7710d7ce43c3bff,file,9,0,76,11.84,,1,No,,,,0,0
19,23a90f527ffbe2595526a977aa3d98668a0b73643dfdda4f269be0294474f693,file,2,0,76,2.63,,0,No,,,,0,0
20,2591125d1eb2d2c3018e4bb09ff484ca4e6f28103a512e2e4ff705480b1da239,file,0,0,76,0,,0,No,,,,0,0
21,2aa18bbcf8b2106b0e65c7ea4aefb9b4a3e0c71d80e8051f3b2a1da00ed3ef07,file,11,0,76,14.47,,1,No,,,,0,0
22,02cf7ce842c99eb726739542e131f8cc64ee34629036d2a593f49c399aa89846,file,0,0,76,0,,0,No,,,,0,0
23,367b8d0cb1acf9abe9f33d8d8d160e06c0cdfd79a8c54f6444ccc3d5299e2af5,file,0,0,76,0,,0,No,,,,0,0
24,bdd8f1b18895cdd87c54c492fe71e5c890ca8856765e56c4b7f3b1526d0ec385,file,1,0,76,1.32,,0,No,,,,0,0
25,18988a76275f1fb21c43a11bd2ea09b83a4457bca5f32fd8e827adf33f00a5e0,file,1,0,76,1.32,,0,No,,,,0,0
26,dda776f116517bbbe10ebfd51ba1c97a5cce4af15cd9baf3fec55c15d2a6d528,file,10,0,76,13.16,,0,No,,,,0,0
27,0dd27ba607b432957e521f23881dbd80c21fcf10f49cd129d5f163b66dbb1c7a,file,1,0,76,1.32,,0,No,,,,0,0
28,2b7a54381a40511e7e175a35ffd18bd7761cbe92f2e63b33c24cde6e2491d94b,file,10,0,76,13.16,,1,No,,,,0,0
29,2248ab7821984eca0c9066cc1b3d1dc30675388a7ddfb385d979417b04a1b639,file,0,0,76,0,,0,No,,,,0,0
30,c6b191ca0be1fedac5a938a4017959a7d588f1858946bc5b25a1c30e8549cb59,file,1,0,76,1.32,,0,No,,,,0,0
31,4ae9a5d95de49674b4b494276f457366013aa3bdc7b36afdbf5b2702db29ff00,file,19,0,76,25,,0,No,,,,0,0
32,bf7e5ed4ad42274d3206452e0e3fcb5aed8f05b522178798a77a54f1e35cc71e,file,0,0,76,0,,0,No,,,,0,0
33,141d3cd2027dfc582bac85eb98f56ec63bd3100c94ed55db28f06f744436a575,file,21,0,76,27.63,,1,No,,,,0,0
34,15cd7fe2d9b427215a9456b5be0317be66a21cb2bfba4b10595f4640778131fe,file,3,0,76,3.95,,0,No,,,,0,0
35,c4c13e438d428ff8fe8f4f54216fbb2ff73cd02979e5bff398555c7449450fbb,file,11,0,76,14.47,,1,No,,,,0,0
