,IOC,Type,VT Malicious,VT Suspicious,Total Engines,Severity %,Microsoft Detection,OTX Pulses,In CIRCL Dataset,Country,State,City,Latitude,Longitude
0,5339050cc5516cec55af282d52abb5e74553d7190e4a8ca976264fc9eb7d9b9a,file,53,0,76,69.74,Backdoor:MSIL/Crysan.ARA!MTB,0,No,,,,0,0
1,4e88e058bcb850c463f0cef1fd312f6cb48f54027ae40266cd0a721fdfacd8ee,file,18,0,76,23.68,,1,No,,,,0,0
2,f0be34c4b48a60d712a8f642300abea0a4ae5d369768e4b8a902171e77977985,file,32,0,76,42.11,,1,No,,,,0,0
3,cc7e34cc729b2ee4303047e40638e00f8731e9720df24919ba0e4ea782077283,file,15,0,76,19.74,,1,No,,,,0,0
4,4bc1e87d31cfac834fbe99dc90f7e3bdd1931aa63e9d170b29bb2fa266d984e3,file,21,0,76,27.63,,1,No,,,,0,0
5,4ba8cef5aea41ae0318c245bb2e62b2a51af6b94ecf3acafe08d72b81dca09fc,file,34,0,76,44.74,Trojan:Java/SAgnt!rfn,1,No,,,,0,0
6,eadf0f8d6fbd5e2dfa03d4b8b88b1144790c069df696b43e3b0ed7b12a5f79d1,file,32,0,76,42.11,Trojan:Java/SAgnt!rfn,1,No,,,,0,0
7,63a5df9874c19dacba1c168cd2e784cbc9c0cbfeeb604c76631c236f40b334db,file,20,0,76,26.32,,1,No,,,,0,0
8,ce862b8eb21cec8cb818b903bb9463c48b29c896e220c055f572e757dd366057,file,32,0,76,42.11,,1,No,,,,0,0
9,a5f52d7301c6bd9c8e10af6f92d00796905fad60f7277ef1f1aadb61861f76b0,file,34,0,76,44.74,Trojan:Java/SAgnt!rfn,1,No,,,,0,0
10,cb91eff8d76d9c55b8f837fa6c0f0571617580c4906979c3ffbc2d0a4fea7045,file,33,0,76,43.42,Trojan:Java/SAgnt!rfn,1,No,,,,0,0
11,e555f0cbe5d44740393caed3e4008f338b05f10f23e6e1abc3aa6a52033ce5d6,file,33,0,76,43.42,Trojan:Java/SAgnt!rfn,1,No,,,,0,0
12,e4ec5f976f1d7402b6a95cb3cabfa57e518ae5bf7fe2cbfe5aea96adecedda0d,file,20,0,76,26.32,,1,No,,,,0,0
13,3af6d5b98cea22b34f9626448f298d92d3dc1ae8e4d5b99482ea1d936d757a01,file,34,0,76,44.74,Trojan:Java/SAgnt!rfn,1,No,,,,0,0
14,f19cccbd4bfc9d3823fa2b475dd75ba5991479f3af824a9c9cd0e9dce56154cb,file,20,0,76,26.32,Trojan:Win32/Alevaul!rfn,1,No,,,,0,0
15,764e9ebda102b5f121f845fb8b2d3184aad52a9054f291fbfe53ff34341e46b7,file,13,0,76,17.11,,1,No,,,,0,0
16,64b902353130a41548e262ad1f8e2dd18e6076d463cb423ae15f75f0d816c751,file,19,0,76,25,,1,No,,,,0,0
17,c97e12e9d8be059c6ba3034aa4b33cc2e7a2ffeb741fb4b6738ff4ae2186c113,file,32,0,76,42.11,Trojan:Java/SAgnt!rfn,1,No,,,,0,0
18,bae7b5f5e65aff44c6ac8edc84b130de024499d7b4e28068f95898de1806aa5c,file,18,0,76,23.68,,1,No,,,,0,0
19,6010d46bd113fb8e432aab08046fff7f525456e8f1081f8001985d5f57ba51a2,file,33,0,76,43.42,,1,No,,,,0,0
20,55a50c81265c53c6953abad99ffc1164cf3315e213942f0996ed1eca8d761323,file,32,0,76,42.11,Trojan:Java/SAgnt!rfn,1,No,,,,0,0
21,c6b4bf7b9ee31dd818f91838710d1eda2b3e60b0e8b1fefcfde76cdf3bb71199,file,22,0,76,28.95,Trojan:Win32/Alevaul!rfn,1,No,,,,0,0
22,2fd888671025424171d9f6f85dc2d8380b2a0e811d524a01eac9f60f5b6115a5,file,34,0,76,44.74,Trojan:Java/SAgnt!rfn,1,No,,,,0,0
23,0381e2678a721feee42e49841ee424ccccc7282ef65d5a9a70a5568b0a5c002f,file,33,0,76,43.42,Trojan:Java/SAgnt!rfn,1,No,,,,0,0
24,75d59ccc7585546afc95cd41cb0226c3121e5aae8683c21a59de0974066e62cf,file,33,0,76,43.42,Trojan:Java/SAgnt!rfn,1,No,,,,0,0
25,17c490f7c296d8874440db1bd4a4e0b3c9af7e09d7be32cff2437d250f8afec5,file,20,0,76,26.32,,1,No,,,,0,0
26,0c09144c8131210f986dd08d7b81097b16f41dc028511982b61879b98d7979e6,file,34,0,76,44.74,Trojan:Java/SAgnt!rfn,1,No,,,,0,0
27,55f49e71ccfc80b457463db2bc9506aeca4760469318f2c99475f2e54148c8f0,file,32,0,76,42.11,,1,No,,,,0,0
28,c890119e96dcaa5be53dc4bbd597e63ab2b18cc11b7cf24aa47121578c87dc52,file,28,0,76,36.84,,1,No,,,,0,0
29,20ee2d26f82d46d88ab2ced1cd920e6212ba595fde92219908c27b1cab3673e8,file,21,0,76,27.63,Trojan:Win32/Kepavll!rfn,1,No,,,,0,0
30,60bd7c9c849b5aa02b9cfe5074d228fdc35cf72aaded663071d2487a7b6ad34d,file,17,0,76,22.37,Trojan:Win32/Alevaul!rfn,1,No,,,,0,0
31,1c667a60522186b97d269cd7e4c8a57de951ad08d25bf537a718231435e74444,file,22,0,76,28.95,,1,No,,,,0,0
32,27662d78ffcc35351bc5c0dc2bf22e496abf82c471abe506a06c1ca2a775e91d,file,32,0,76,42.11,Trojan:Java/SAgnt!rfn,1,No,,,,0,0
33,684086e0b0f0eb99020d0c1dac2884e78e94f4fdb734d778c1b23763ecd4f111,file,31,0,76,40.79,,1,No,,,,0,0
34,02339d3ffb209118faaede28f9ae3b73082fd02b2a29e70900287004635952ad,file,24,0,76,31.58,,0,No,,,,0,0
35,ddc06b6cc3f3988b6011e814be7b694f980346291ddd9b3bcd6ce1dc83020dc0,file,17,0,76,22.37,,1,No,,,,0,0
36,419d80914bfeb938be569c9f39364da6471ec0946975328007e037b48e8ca9c4,file,32,0,76,42.11,Trojan:Java/SAgnt!rfn,1,No,,,,0,0
37,524882896283a38b277a4da1e924d604354822b3b2f0374a037932f7cd2b5190,file,19,0,76,25,Trojan:Win32/Leonem!rfn,1,No,,,,0,0
38,df78cf052e5a2b778ddf6c7e8fcadacdeccdfc31f6570a05616fd82fe4a7256c,file,30,0,76,39.47,,1,No,,,,0,0
39,e6055f2ab861b9e7babfa7929c7b96d67e4a6a6fb59710a0ae982c90d6ef9ea9,file,34,0,76,44.74,Trojan:Java/SAgnt!rfn,1,No,,,,0,0
40,ec005cdc06ba01634026b3796de3ba88123ef9a09c07d379976eb08997f7f60d,file,20,0,76,26.32,,1,No,,,,0,0
41,1f10ea65aa76d23a7ab1a2ce1c9ba4bf215e53f76c7d4c96dc539a872f2ea772,file,20,0,76,26.32,,3,No,,,,0,0
42,240dd9e87bac3cbf0bac0d38d11ac9353de639c4f881c40e51197e6ecc89a730,file,20,0,76,26.32,,1,No,,,,0,0
43,379759fe789f1490f15602f630253ac87fb23570b28876241b41e3fbd19ce25d,file,34,0,76,44.74,Trojan:Java/SAgnt!rfn,1,No,,,,0,0
44,244e1752fe3265b06b32288d81c22adaac08633aec26fcc66e8e9d8afd06fbcb,file,34,0,76,44.74,Trojan:Java/SAgnt!rfn,1,No,,,,0,0
45,08169831093c767e4491e5c00ebfb033e747913cf342ff58416a5bb5fd405c1d,file,24,0,76,31.58,Trojan:Win32/Kepavll!rfn,3,No,,,,0,0
46,198c535340bf87d79d2d3055fc625567877ff509638fe8a69029ea1092c0a022,file,33,0,76,43.42,Trojan:Java/SAgnt!rfn,1,No,,,,0,0
47,a64aeb26e5e1f748e085e5a2bea7c63b3d5b8f83a36648aea2864a300fe11939,file,34,0,76,44.74,Trojan:Java/SAgnt!rfn,1,No,,,,0,0
48,c467cc0b9e15fd551b3fbbe60dba079883955fb0dc561979a39fec43bdb364c7,file,33,0,76,43.42,Trojan:Java/SAgnt!rfn,1,No,,,,0,0
49,9bbee17507b136aae045ebcfc641bed1977be94b9a40becbb2ce84bf0fefff96,file,20,0,76,26.32,,1,No,,,,0,0
50,31c086a276506bbcea66d93d5564cd9ce736deb2f97e49124040077bbcc595f9,file,33,0,76,43.42,Trojan:Java/SAgnt!rfn,1,No,,,,0,0
51,ea5602055b7b961b6938ada78edafa5748ab06dfdccab90673baa291d067f69d,file,34,0,76,44.74,Trojan:Java/SAgnt!rfn,1,No,,,,0,0
52,58bce68b80c7371b04a1623333ca30c8e18b9156c457ea60d425e3db6c019a42,file,34,0,76,44.74,Trojan:Java/SAgnt!rfn,1,No,,,,0,0
53,e0e14d19d92d62a9b8a4420e86e6b44c33232a3169160d56eb4cf2ab145ceae4,file,33,0,76,43.42,Trojan:Java/SAgnt!rfn,1,No,,,,0,0
54,6ed01376b253d3822e52e96670bafa1de78467cfd3046928db50c535da9d1b4f,file,34,0,76,44.74,Trojan:Java/SAgnt!rfn,1,No,,,,0,0
55,e50799192b6149d32b03dec4a80ff332343c702b1124448834beb417811202d8,file,21,0,76,27.63,Trojan:Win32/Alevaul!rfn,1,No,,,,0,0
56,92a1d959b6638c620912603f2b2b227a0217e8774dcce3e21857b20f5aa7a4ba,file,22,0,76,28.95,Trojan:Win32/Alevaul!rfn,1,No,,,,0,0
57,f73eeb40376e1ccd870c146741cb6b284ebd726c0ec63a099ec567064fb13c50,file,34,0,76,44.74,Trojan:Java/SAgnt!rfn,1,No,,,,0,0
58,3b8b68d1abeaa0b4b679aaf3ced79dd4171b884aa87ec7bfd0b6d1610591d2dc,file,21,0,76,27.63,,1,No,,,,0,0
59,ebc626dbc56d5632a18d639d58e3cd8d0aa23aeb6ea6ebd19fe6f2ce6ab3991e,file,21,0,76,27.63,,3,No,,,,0,0
60,049f848d22d25df54ba583f388411250ca386fe32a0bc20c62cc3f480c342aff,file,23,0,76,30.26,Trojan:Win32/Egairtigado!rfn,3,No,,,,0,0
61,4d5c3fc6cf698c31572b81812d110de97c6139ca552b7997cc288f65f711682e,file,16,0,76,21.05,,1,No,,,,0,0
62,5810a1cb912f17190ab7c837364c4fc0c41584c7191967b7a91f14b40e037d5b,file,34,0,76,44.74,Trojan:Java/SAgnt!rfn,1,No,,,,0,0
63,b09142c0a565599fa55709ecca76b9ee01ff64620c2955f47a810a119b4c6404,file,34,0,76,44.74,Trojan:Java/SAgnt!rfn,1,No,,,,0,0
64,49a715fe7a1bb44eb881a67d9de3f8a22a01d8832b4d8f56b3587c2d0342f041,file,19,0,76,25,,1,No,,,,0,0
65,9ad2034348523ec6fdc8ebb23e21f6dce7636bc293342eadcda3442603da3fc6,file,28,0,76,36.84,Trojan:Java/SAgnt!rfn,1,No,,,,0,0
66,fc4952e6f3e52c1e32200fddd15083e30f97b086d60ab1580a88335a89748aa0,file,34,0,76,44.74,Trojan:Java/SAgnt!rfn,1,No,,,,0,0
67,49ba99a823260e9dc868b31cf346335549585b0f710b5342e719ee5b2c8aee53,file,34,0,76,44.74,Trojan:Java/SAgnt!rfn,1,No,,,,0,0
68,6989326966a8f4640f1e6e8de587481608a6228f1bac90d29252448c3a4e2801,file,33,0,76,43.42,Trojan:Java/SAgnt!rfn,1,No,,,,0,0
69,37db70c110e715119cf56656d2f086974ea65fc4bc7384a8d35e4153b546c345,file,15,0,76,19.74,,1,No,,,,0,0
70,58969431f95044c945062a3e16de7b6aa454f247c3d6561940aadad6fc77fbef,file,20,0,76,26.32,,1,No,,,,0,0
71,e2695196a5530067a809f199006c578203106e0325a6c5a8977f1b88e1d9e88d,file,34,0,76,44.74,Trojan:Java/SAgnt!rfn,1,No,,,,0,0
72,b692671b5f3aaa314a67c1a3bd91f9566f4a1063fd6c1edf224cef5c59edeca5,file,34,0,76,44.74,Trojan:Java/SAgnt!rfn,1,No,,,,0,0
73,2138600aeec4427f82b8e2902ea658708fe56a8ef25f950aff37fe8f35d5c6d5,file,7,0,76,9.21,,1,No,,,,0,0
74,6407b98727239ed380e379fe8c668efc08dbbd0934fa7b9b4205a7f4681b3405,file,16,0,76,21.05,,1,No,,,,0,0
75,784ee258ed475eac5918522ba28be2521058a9f91df1083861f5d641888f88ae,file,22,0,76,28.95,,1,No,,,,0,0
76,b94ac659421364a374ce018b1f990038e5792f817031a01b7dfd785dbc1cf91b,file,18,0,76,23.68,,1,No,,,,0,0
77,3fafabedc1a2236a17a7f51c9ab20fafec360b625211fcb935f30a0dfeac5d9a,file,33,0,76,43.42,Trojan:Java/SAgnt!rfn,1,No,,,,0,0
78,6ce835e3dd1fd6ba43324e5ebd94890959d4b342bdfcbe68b4d44b72947e3670,file,16,0,76,21.05,,1,No,,,,0,0
79,9cfcb7eb297e4666e0d4ccf7cc0311817f215f66ecd173817b91276b73481850,file,34,0,76,44.74,Trojan:Java/SAgnt!rfn,1,No,,,,0,0
80,7a578cffd046730b7f0a235cfc392bd9c010fa7bffe8fc399425b90665cf638f,file,15,0,76,19.74,,1,No,,,,0,0
81,9b7280615fd3a5b6fdecc1b77ed3a45087e144f2e2a771e672b8e95a71eafcc3,file,31,0,76,40.79,Trojan:Java/SAgnt!rfn,1,No,,,,0,0
