,IOC,Type,VT Malicious,VT Suspicious,Total Engines,Severity %,Microsoft Detection,OTX Pulses,In CIRCL Dataset,Country,State,City,Latitude,Longitude
0,176.46.138.234,ip_address,7,2,95,7.37,undetected,4,No,United States,Washington,Redmond,47.6694,-122.122
1,109.236.93.65,ip_address,1,0,95,1.05,undetected,2,No,The Netherlands,South Holland,Naaldwijk,51.9968,4.2057
2,104.250.164.250,ip_address,6,2,95,6.32,undetected,4,No,United Kingdom,England,Manchester,53.4907,-2.24024
3,176.46.138.229,ip_address,7,2,95,7.37,undetected,4,No,United States,Washington,Redmond,47.6694,-122.122
4,213.227.128.161,ip_address,1,0,95,1.05,undetected,2,No,The Netherlands,North Holland,Amsterdam,52.3667,4.89454
5,185.25.48.96,ip_address,2,0,95,2.11,undetected,2,No,Lithuania,Siauliai,Šiauliai,55.9349,23.3137
6,104.250.164.233,ip_address,6,2,95,6.32,undetected,2,No,United Kingdom,England,Manchester,53.4907,-2.24024
7,185.93.89.164,ip_address,5,3,95,5.26,undetected,4,No,United Kingdom,England,London,51.5072,-0.127586
8,104.250.164.222,ip_address,7,2,95,7.37,undetected,4,No,United Kingdom,England,Manchester,53.4907,-2.24024
9,honipsiops.in104.250.164.214,domain,0,0,0,0,undetected,0,No,,,,0,0
10,185.64.105.182,ip_address,1,0,95,1.05,undetected,2,No,Lithuania,Siauliai,Šiauliai,55.9349,23.3137
11,109.236.93.67,ip_address,1,0,95,1.05,undetected,2,No,The Netherlands,South Holland,Naaldwijk,51.9968,4.2057
12,176.46.138.227,ip_address,6,2,95,6.32,undetected,4,No,United States,Washington,Redmond,47.6694,-122.122
13,104.250.164.245,ip_address,7,2,95,7.37,undetected,4,No,United Kingdom,England,Manchester,53.4907,-2.24024
14,89.39.149.231,ip_address,1,0,95,1.05,undetected,2,No,Romania,Galați County,Galati,45.4334,28.0547
15,185.93.89.187,ip_address,6,3,95,6.32,undetected,4,No,United Kingdom,England,London,51.5072,-0.127586
16,185.93.89.143,ip_address,8,2,95,8.42,undetected,4,No,United Kingdom,England,London,51.5072,-0.127586
17,185.93.89.168,ip_address,7,3,95,7.37,undetected,2,No,United Kingdom,England,London,51.5072,-0.127586
18,85.206.167.139,ip_address,1,1,95,1.05,undetected,2,No,Lithuania,Siauliai,Šiauliai,55.9399,23.3132
19,85.206.160.225,ip_address,1,0,95,1.05,undetected,2,No,Lithuania,Siauliai,Šiauliai,55.9399,23.3132
20,185.64.104.124,ip_address,1,0,95,1.05,undetected,2,No,Lithuania,Siauliai,Šiauliai,55.9349,23.3137
21,85.206.167.143,ip_address,1,0,95,1.05,undetected,2,No,Lithuania,Siauliai,Šiauliai,55.9399,23.3132
22,185.25.48.197,ip_address,1,0,95,1.05,undetected,2,No,Lithuania,Siauliai,Šiauliai,55.9349,23.3137
23,85.206.160.226,ip_address,1,0,95,1.05,undetected,2,No,Lithuania,Siauliai,Šiauliai,55.9399,23.3132
24,185.64.106.148,ip_address,1,0,95,1.05,undetected,2,No,Lithuania,Siauliai,Šiauliai,55.9349,23.3137
25,185.25.48.49,ip_address,2,0,95,2.11,undetected,2,No,Lithuania,Siauliai,Šiauliai,55.9349,23.3137
26,185.93.89.159,ip_address,5,2,95,5.26,undetected,4,No,United Kingdom,England,London,51.5072,-0.127586
27,176.46.138.219,ip_address,6,2,95,6.32,undetected,4,No,United States,Washington,Redmond,47.6694,-122.122
28,176.46.138.241,ip_address,6,2,95,6.32,undetected,4,No,United States,Washington,Redmond,47.6694,-122.122
29,185.93.89.179,ip_address,6,2,95,6.32,undetected,5,No,United Kingdom,England,London,51.5072,-0.127586
30,85.206.167.133,ip_address,2,0,95,2.11,undetected,2,No,Lithuania,Siauliai,Šiauliai,55.9399,23.3132
31,85.206.167.149,ip_address,1,0,95,1.05,undetected,2,No,Lithuania,Siauliai,Šiauliai,55.9399,23.3132
32,176.46.138.207,ip_address,6,2,95,6.32,undetected,4,No,United States,Washington,Redmond,47.6694,-122.122
33,185.93.89.177,ip_address,7,2,95,7.37,undetected,4,No,United Kingdom,England,London,51.5072,-0.127586
34,176.46.138.216,ip_address,7,2,95,7.37,undetected,4,No,United States,Washington,Redmond,47.6694,-122.122
35,176.46.138.208,ip_address,7,2,95,7.37,undetected,4,No,United States,Washington,Redmond,47.6694,-122.122
36,89.39.149.227,ip_address,1,0,95,1.05,undetected,2,No,Romania,Galați County,Galati,45.4334,28.0547
37,185.64.104.45,ip_address,2,0,95,2.11,undetected,2,No,Lithuania,Siauliai,Šiauliai,55.9349,23.3137
38,176.46.138.226,ip_address,6,2,95,6.32,undetected,4,No,United States,Washington,Redmond,47.6694,-122.122
39,185.93.89.158,ip_address,6,3,95,6.32,undetected,2,No,United Kingdom,England,London,51.5072,-0.127586
40,104.250.164.230,ip_address,7,2,95,7.37,undetected,4,No,United Kingdom,England,Manchester,53.4907,-2.24024
41,185.64.105.12,ip_address,1,0,95,1.05,undetected,2,No,Lithuania,Siauliai,Šiauliai,55.9349,23.3137
42,176.46.138.215,ip_address,8,2,95,8.42,undetected,4,No,United States,Washington,Redmond,47.6694,-122.122
43,104.250.164.254,ip_address,8,2,95,8.42,undetected,2,No,United Kingdom,England,Manchester,53.4907,-2.24024
44,109.236.93.63,ip_address,1,0,95,1.05,undetected,2,No,The Netherlands,South Holland,Naaldwijk,51.9968,4.2057
45,104.250.164.235,ip_address,6,2,95,6.32,undetected,4,No,United Kingdom,England,Manchester,53.4907,-2.24024
46,176.46.138.217,ip_address,7,2,95,7.37,undetected,4,No,United States,Washington,Redmond,47.6694,-122.122
47,176.46.138.239,ip_address,7,2,95,7.37,undetected,4,No,United States,Washington,Redmond,47.6694,-122.122
48,109.236.93.68,ip_address,1,0,95,1.05,undetected,2,No,The Netherlands,South Holland,Naaldwijk,51.9968,4.2057
49,185.93.89.171,ip_address,9,2,95,9.47,undetected,4,No,United Kingdom,England,London,51.5072,-0.127586
50,185.64.106.147,ip_address,1,0,95,1.05,undetected,4,No,Lithuania,Siauliai,Šiauliai,55.9349,23.3137
