,IOC,Type,VT Malicious,VT Suspicious,Total Engines,Severity %,Microsoft Detection,OTX Pulses,In CIRCL Dataset,Country,State,City,Latitude,Longitude
0,share-doc.live,domain,3,2,94,3.19,undetected,3,No,,,,0,0
1,deliverycitylife.com,domain,6,3,94,6.38,undetected,4,No,,,,0,0
2,cloudly.live,domain,18,0,94,19.15,undetected,5,No,,,,0,0
3,7fc65b23e0a85f548e4268b77b66a3c9f3d08b9c1817c99bc1336d51d36e1ec6,file,10,0,76,13.16,,4,No,,,,0,0
4,storagedrive.pub,domain,6,3,94,6.38,undetected,1,No,,,,0,0
5,datadrv1.com,domain,7,2,94,7.45,undetected,5,No,,,,0,0
6,1drive-work.online,domain,10,1,94,10.64,undetected,4,No,,,,0,0
7,e7917ff12114be5c79ca9bd0082eb628192c2ebfbee7aad2ae626ea208ee37cf,file,0,0,0,0,undetected,3,No,,,,0,0
8,drivehub.live,domain,13,1,94,13.83,undetected,4,No,,,,0,0
9,onestorelink.live,domain,14,0,94,14.89,undetected,5,No,,,,0,0
10,dvfilesync.pub,domain,8,2,94,8.51,undetected,1,No,,,,0,0
11,drsync.click,domain,9,3,94,9.57,undetected,4,No,,,,0,0
12,1drw.live,domain,3,0,94,3.19,undetected,3,No,,,,0,0
13,1drv365.live,domain,9,2,94,9.57,undetected,4,No,,,,0,0
14,workspace-doc.live,domain,14,1,94,14.89,undetected,4,No,,,,0,0
15,ms.share-onedr.com,domain,8,1,94,8.51,undetected,0,No,,,,0,0
16,365msdrv.live,domain,13,2,94,13.83,undetected,5,No,,,,0,0
17,consvcprivacy.com,domain,6,2,94,6.38,undetected,3,No,,,,0,0
18,dvcloud.live,domain,12,1,94,12.77,undetected,5,No,,,,0,0
19,1c6a5476d485d311be1e07c2e0d2ae322214caa5d4f84398d4169d499105b01a,file,0,0,0,0,undetected,3,No,,,,0,0
20,supportcausems.com,domain,5,1,94,5.32,undetected,3,No,,,,0,0
21,ondrve.live,domain,6,3,94,6.38,undetected,3,No,,,,0,0
22,1drv.zone,domain,13,1,94,13.83,undetected,4,No,,,,0,0
23,onlinedrive.click,domain,8,3,94,8.51,undetected,4,No,,,,0,0
24,1share.limited,domain,8,2,94,8.51,undetected,4,No,,,,0,0
25,drivepublic.live,domain,8,2,94,8.51,undetected,4,No,,,,0,0
26,8f3b065e6aa6bc220867cdcb1c250c69b2d46422c51f66f25091f6cab5d043de,file,46,0,76,60.53,Trojan:Win32/Casdet!rfn,4,No,,,,0,0
27,fba9f2c351e898bfc61c8b1181020212ccb9e55041c4dd433ca2867dbf796469,file,0,0,0,0,undetected,3,No,,,,0,0
28,my1drv.live,domain,15,2,94,15.96,undetected,5,No,,,,0,0
29,healthfy.bio,domain,5,3,94,5.32,undetected,3,No,,,,0,0
30,1drv.eu.com,domain,8,2,94,8.51,undetected,0,No,,,,0,0
31,cd526475391c375e8e40f0146146672928db9bbf210acb41e0fd41381cd5eb9a,file,41,0,76,53.95,Trojan:Win32/Casdet!rfn,4,No,,,,0,0
32,mydrv1.live,domain,6,2,94,6.38,undetected,3,No,,,,0,0
33,drive-share.pub,domain,6,3,94,6.38,undetected,1,No,,,,0,0
34,share-pdf.live,domain,6,3,94,6.38,undetected,3,No,,,,0,0
35,onefile.social,domain,3,1,94,3.19,undetected,3,No,,,,0,0
36,msvhost.com,domain,8,1,94,8.51,undetected,4,No,,,,0,0
37,1dv365.live,domain,15,2,94,15.96,undetected,5,No,,,,0,0
38,1drv-team.works,domain,8,2,94,8.51,undetected,4,No,,,,0,0
39,d1rv.social,domain,5,2,94,5.32,undetected,3,No,,,,0,0
40,mngersrv.com,domain,7,1,94,7.45,undetected,3,No,,,,0,0
41,gdl-cloud.works,domain,8,3,94,8.51,undetected,4,No,,,,0,0
42,gworkspace.social,domain,17,1,94,18.09,undetected,4,No,,,,0,0
43,gdrive-share.online,domain,14,1,94,14.89,undetected,4,No,,,,0,0
44,7e51eb44cfd945f4a155707f773fae3207ebfb59d45ea866ba69bd9bc28dfc32,file,0,0,76,0,,3,No,,,,0,0
45,site-staff.sale,domain,14,1,94,14.89,undetected,4,No,,,,0,0
46,file-cloud.company,domain,3,1,94,3.19,undetected,3,No,,,,0,0
47,clouderive.com,domain,5,1,94,5.32,undetected,3,No,,,,0,0
48,f5f2761278163a1a813356666cb305fe37806f5f633b2a5475997f10d24fb3d4,file,41,0,76,53.95,Trojan:Win32/Casdet!rfn,4,No,,,,0,0
49,my-drive365.pub,domain,14,3,94,14.89,undetected,1,No,,,,0,0
50,lauradream.com,domain,7,1,94,7.45,undetected,3,No,,,,0,0
51,journalctl.website,domain,9,2,94,9.57,undetected,4,No,,,,0,0
52,drivenc.pub,domain,14,0,94,14.89,undetected,1,No,,,,0,0
53,opendnsapi.net,domain,13,1,94,13.83,undetected,4,No,,,,0,0
54,data-dv.live,domain,15,1,94,15.96,undetected,5,No,,,,0,0
55,pdf-storage.pub,domain,7,2,94,7.45,undetected,1,No,,,,0,0
56,cloud1dv.com,domain,17,1,94,18.09,undetected,5,No,,,,0,0
57,onedr.expert,domain,14,0,94,14.89,undetected,4,No,,,,0,0
58,sharedrive.pub,domain,13,1,94,13.83,undetected,1,No,,,,0,0
59,6d5226cba687d99ce14eda8de290edd470e79436625618559c8db1458a53666c,file,46,0,76,60.53,Trojan:Win32/Wacatac.B!ml,4,No,,,,0,0
60,54a94c7ec259104478b40fd0e6325d1f5364351e6ce1adfd79369d6438ed6ed9,file,0,0,0,0,undetected,3,No,,,,0,0
61,gdrvdocs.online,domain,9,2,94,9.57,undetected,4,No,,,,0,0
62,cloudlive.pub,domain,5,2,94,5.32,undetected,1,No,,,,0,0
63,drivehost.live,domain,12,1,94,12.77,undetected,5,No,,,,0,0
64,1drv-storage.pub,domain,9,1,94,9.57,undetected,1,No,,,,0,0
65,driveshare.pub,domain,6,1,94,6.38,undetected,1,No,,,,0,0
66,drivestorage.online,domain,7,2,94,7.45,undetected,4,No,,,,0,0
67,pdf-share.pub,domain,6,1,94,6.38,undetected,1,No,,,,0,0
68,365drv.live,domain,10,1,94,10.64,undetected,4,No,,,,0,0
69,1drvcloud.online,domain,9,2,94,9.57,undetected,4,No,,,,0,0
70,07b9e353239c4c057115e8871adc3cfb42467998c6b737b28435ecc9405001c9,file,5,0,76,6.58,,4,No,,,,0,0
71,my1drv.online,domain,6,3,94,6.38,undetected,3,No,,,,0,0
72,documentapproved.click,domain,15,0,94,15.96,undetected,4,No,,,,0,0
73,3a234b49b834849689da477f77ca6363b40ee83e58213ee51b1ec248da90a543,file,0,0,0,0,undetected,3,No,,,,0,0
74,storage-hub.pub,domain,9,3,94,9.57,undetected,1,No,,,,0,0
75,file-share.works,domain,13,1,94,13.83,undetected,4,No,,,,0,0
76,1dvstorage.com,domain,7,1,94,7.45,undetected,5,No,,,,0,0
77,pdfshare.click,domain,5,3,94,5.32,undetected,3,No,,,,0,0
78,myonedrive365.live,domain,14,1,94,14.89,undetected,4,No,,,,0,0
79,drivedefend.com,domain,10,1,94,10.64,undetected,4,No,,,,0,0
80,ondv.live,domain,16,1,94,17.02,undetected,5,No,,,,0,0
81,1dcloud.live,domain,12,1,94,12.77,undetected,5,No,,,,0,0
82,1day.live,domain,12,1,94,12.77,undetected,5,No,,,,0,0
83,1drvms.space,domain,13,0,94,13.83,undetected,4,No,,,,0,0
84,my-356drv.online,domain,8,2,94,8.51,undetected,3,No,,,,0,0
85,1drv.site,domain,8,0,94,8.51,undetected,4,No,,,,0,0
86,drivepoint.pub,domain,16,1,94,17.02,undetected,1,No,,,,0,0
87,onedrweb.live,domain,14,2,94,14.89,undetected,5,No,,,,0,0
88,livestorage.click,domain,5,3,94,5.32,undetected,3,No,,,,0,0
89,cloud-pdf.online,domain,7,3,94,7.45,undetected,4,No,,,,0,0
90,drshare.online,domain,16,0,94,17.02,undetected,5,No,,,,0,0
91,365work.chat,domain,13,2,94,13.83,undetected,4,No,,,,0,0
92,sharepdf.limited,domain,6,2,94,6.38,undetected,3,No,,,,0,0
93,1dv.online,domain,12,1,94,12.77,undetected,1,No,,,,0,0
94,1drv365.online,domain,14,2,94,14.89,undetected,5,No,,,,0,0
95,onelivedrv.com,domain,6,3,94,6.38,undetected,5,No,,,,0,0
96,file-acess.live,domain,6,3,94,6.38,undetected,3,No,,,,0,0
97,diskstorage.click,domain,10,1,94,10.64,undetected,4,No,,,,0,0
98,1drvfiles.online,domain,16,2,94,17.02,undetected,4,No,,,,0,0
99,dr365.live,domain,5,4,94,5.32,undetected,3,No,,,,0,0
100,mspdf.live,domain,7,2,94,7.45,undetected,4,No,,,,0,0
