,IOC,Type,VT Malicious,VT Suspicious,Total Engines,Severity %,Microsoft Detection,OTX Pulses,In CIRCL Dataset,Country,State,City,Latitude,Longitude
0,6444f0e3f78254aef663837562d258a2236a77f810ee8d832de7d83e0fdd5783,file,52,0,76,68.42,Trojan:Win32/Yomal!rfn,1,No,,,,0,0
1,steamcommunity.com/id/tfy5d6gohu8tgy687r7,domain,0,0,0,0,undetected,0,No,,,,0,0
2,4cef6738ef175fa988e9867ca19d2a12f1bf55d2cab07246010833fdb0f4d0f0,file,25,0,76,32.89,,1,No,,,,0,0
3,a2feb262a667de704e5e08a8a705c69bbcc806e0d52f0f8e3f081a6aa6c8d7b4,file,3,0,76,3.95,,3,No,,,,0,0
4,5a741df3e4a61b8632f62109a65afc0f297f4ed03cd7e208ffd2ea5e2badf318,file,48,0,76,63.16,Trojan:Win32/Casdet!rfn,4,No,,,,0,0
5,53dddae886017fbfbb43ef236996b9a4d9fb670833dfa0c3eac982815dc8d2a5,file,49,0,76,64.47,Trojan:Win32/Latrodectus.YAE!MTB,4,No,,,,0,0
6,94.141.122.164,ip_address,7,3,95,7.37,undetected,6,No,Finland,Uusimaa,Helsinki,60.1719,24.9347
7,d51f81ee026df39447143b67eaf16326c30e0c9477c0d50507f1fbfffe53abd6,file,55,0,76,72.37,Trojan:Win64/LummaStealer.CB!MTB,1,No,,,,0,0
8,a97ff41736299857a3cae7c1917456eef5e0fcc703d0a1e475d0b9cfe42452c7,file,44,0,76,57.89,Trojan:Win32/Egairtigado!rfn,1,No,,,,0,0
9,ae78caabec6a4241c64357ca5ca05de2e181fe253963de528807bf051fc3608e,file,51,0,76,67.11,,1,No,,,,0,0
10,sftp.sagargolf.com,domain,2,1,95,2.11,undetected,0,No,,,,0,0
11,107.158.128.90,ip_address,3,2,95,3.16,undetected,3,No,United States,Texas,Dallas,32.7767,-96.797
12,oneyogasite.com,domain,2,0,95,2.11,undetected,1,No,,,,0,0
13,bf21161c808ae74bf08e8d7f83334ba926ffa0bab96ccac42dde418270387890,file,43,0,76,56.58,Trojan:Win32/Egairtigado!rfn,5,No,,,,0,0
14,panelv1.hostingzealoft.today,domain,3,6,95,3.16,undetected,0,No,,,,0,0
15,18e535d4a641821c4c212b30d79fcebf3fd42d9831972b40dc262b614a08d114,file,0,0,76,0,,1,No,,,,0,0
16,185.212.47.84,ip_address,6,2,95,6.32,undetected,2,No,Germany,Hesse,Frankfurt am Main,50.1169,8.6837
17,192.36.57.164,ip_address,8,3,95,8.42,undetected,1,No,France,Île-de-France,Paris,48.8566,2.35222
18,notionus.org,domain,1,1,95,1.05,undetected,1,No,,,,0,0
19,f2ff4cbcd6d015af20e4e858b0f216c077ec6d146d3b2e0cbe68b56b3db7a0be,file,54,0,76,71.05,Trojan:Win32/Egairtigado!rfn,5,No,,,,0,0
20,vilaoaza.com,domain,12,3,95,12.63,undetected,0,No,,,,0,0
21,05ecf871c7382b0c74e5bac267bb5d12446f52368bb1bfe5d2a4200d0f43c1d8,file,46,0,76,60.53,Trojan:Win32/Malgent!MSR,9,No,,,,0,0
22,173.232.146.90,ip_address,5,1,95,5.26,undetected,2,No,United States,Texas,Dallas,32.7767,-96.797
23,e6aab1b6a150ee3cbc721ac2575c57309f307f69cd1b478d494c25cde0baaf85,file,38,0,76,50,,4,No,,,,0,0
24,007f031d4ba5f964136fe73615f524eccdeced5cd7573c281bc1455d5cab2ff6,file,45,0,76,59.21,Trojan:Win32/Casdet!rfn,1,No,,,,0,0
25,91.212.166.17,ip_address,10,2,95,10.53,undetected,6,No,Russia,St.-Petersburg,St Petersburg,59.9291,30.1943
26,lekuvam.com,domain,10,3,95,10.53,undetected,2,No,,,,0,0
