,IOC,Type,VT Malicious,VT Suspicious,Total Engines,Severity %,Microsoft Detection,OTX Pulses,In CIRCL Dataset,Country,State,City,Latitude,Longitude
0,38489af1360af2cb7ba70f61e4c562fa63ce58e59576ba452db560f75ed1680a,file,43,0,76,56.58,Trojan:Win32/Vigorf.A,2,No,,,,0,0
1,155b94be1c3dca48314f6f2ee0c89c09553851ecc9ceefc436e16ebb7fca5f1a,file,50,0,76,65.79,Trojan:Win32/Casdet!rfn,1,No,,,,0,0
2,b03d9dd170cd82890ee1a5503529b81ce8064893e31a88b87081a8c72610d810,file,37,0,76,48.68,,2,No,,,,0,0
3,666f4977abf17db6da2d05b385c5cf53f6500517226a3ac5bd0360eda9193d08,file,32,0,76,42.11,,1,No,,,,0,0
4,056cd36bf4bc6efc119a64f2ffedd76f3dcb75daa95c22c59d91664dfcaa6fd5,file,37,0,76,48.68,Trojan:MSIL/CryptInject.DAA!MTB,1,No,,,,0,0
5,a9b9022aedd1b9afbd7ab1f11f60f236102e1f70b340658da8cb39c072a9af61,file,50,0,76,65.79,Trojan:Win32/Casdet!rfn,1,No,,,,0,0
6,2dde92fc0936cb275be79d5864c98772d1270e4a54c01e61ebc4b856b5e048d5,file,33,0,76,43.42,,1,No,,,,0,0
7,904db68a915b4bbd0b4b2d665bb1e2c51fa1b71b9c44ce45ccd4b4664f2bfd8e,file,37,0,76,48.68,Trojan:Win32/Alevaul!rfn,6,No,,,,0,0
8,15277bfc6b784c373d535fbda9396bd16c15d990943423167602fb81b26d0f07,file,49,0,76,64.47,Trojan:MSIL/CryptInject.DAA!MTB,2,No,,,,0,0
9,dd279ea6c2a660ff7e70788af4a6c98524836c1b63beed756a77942c83de06fa,file,37,0,76,48.68,Trojan:Win32/Vigorf.A,1,No,,,,0,0
10,7c0597aa77031a100db0941921b60f08079bec7f710b6e736a15012db6465c39,file,47,0,76,61.84,Trojan:MSIL/CryptInject.DAA!MTB,1,No,,,,0,0
11,49714e2a0eb4d16882654fd60304e6fa8bfcf9dbd9cd272df4e003f68c865341,file,50,0,76,65.79,Trojan:Win32/Alevaul!rfn,1,No,,,,0,0
12,c8899a6e8d3dd11c75217253f8dd78f5029c01e886880cafce0388d5fd6aa54b,file,46,0,76,60.53,Trojan:MSIL/CryptInject.DAA!MTB,1,No,,,,0,0
13,747dfd7f0ca893034136fd286c737b55edc9276b5794a02c6dd3771da0342729,file,46,0,76,60.53,Trojan:MSIL/CryptInject.DAA!MTB,1,No,,,,0,0
14,7e04c69685d8612f7fc3512ad9ad1802a28428f75874b8717c0f04e939a3324d,file,44,0,76,57.89,Trojan:MSIL/CryptInject.DAA!MTB,1,No,,,,0,0
15,4f1d5081adf8ceed3c3daaaa3804e5a4ac2e964ec90590e716bc8b34953083e8,file,39,0,76,51.32,Trojan:Win32/Vigorf.A,2,No,,,,0,0
