,IOC,Type,VT Malicious,VT Suspicious,Total Engines,Severity %,Microsoft Detection,OTX Pulses,In CIRCL Dataset,Country,State,City,Latitude,Longitude
0,thecloudappbox.azurewebsites.net,file,0,0,0,0,undetected,0,No,,,,0,0
1,backsrv74.azurewebsites.net,domain,5,0,95,5.26,undetected,0,No,,,,0,0
2,mainrepo10.azurewebsites.net,domain,5,0,95,5.26,undetected,0,No,,,,0,0
3,ventilateainest.azurewebsites.net,domain,5,0,95,5.26,undetected,0,No,,,,0,0
4,telehealthconnectpro.azurewebsites.net,domain,6,0,95,6.32,undetected,0,No,,,,0,0
5,afe679de1a84301048ce1313a057af456e7ee055519b3693654bbb7312083876,file,4,0,76,5.26,,5,No,,,,0,0
6,arabiccountriestalent.com,domain,9,1,95,9.47,undetected,8,No,,,,0,0
7,hivemedtech.azurewebsites.net,domain,6,0,95,6.32,undetected,0,No,,,,0,0
8,exchtestcheckingapijson.azurewebsites.net,domain,6,0,95,6.32,undetected,0,No,,,,0,0
9,rheinmetall.careers-hub.org,domain,9,0,95,9.47,undetected,0,No,,,,0,0
10,patientcare-portal.azurewebsites.net,domain,6,1,95,6.32,undetected,0,No,,,,0,0
11,backsrv66.azurewebsites.net,domain,5,1,95,5.26,undetected,0,No,,,,0,0
12,airbus.global-careers.com,domain,5,1,95,5.26,undetected,0,No,,,,0,0
13,bc9f2abce42141329b2ecd0bf5d63e329a657a0d7f33ccdf78b87cf4e172fbd1,file,43,0,76,56.58,Trojan:Win32/Alevaul!rfn,5,No,,,,0,0
14,storagewiz.co.azurewebsites.net,domain,5,0,95,5.26,undetected,0,No,,,,0,0
15,airbus.germanywork.org,domain,9,1,95,9.47,undetected,0,No,,,,0,0
16,c22b12d8b1e21468ed5d163efbf7fee306e357053d454e1683ddc3fe14d25db5,file,7,0,76,9.21,,5,No,,,,0,0
17,cloudaskquestioning.eastus.cloudapp.azure.com.net,domain,7,1,95,7.37,undetected,0,No,,,,0,0
18,cloudaskquestionanswers.com.net,domain,6,2,95,6.32,undetected,0,No,,,,0,0
19,cloudaskquestionanswers.com,domain,10,1,95,10.53,undetected,5,No,,,,0,0
20,vitatechlink.azurewebsites.net,domain,6,0,95,6.32,undetected,0,No,,,,0,0
21,healthcare-azureapi.azurewebsites.net,domain,5,0,95,5.26,undetected,0,No,,,,0,0
22,airbus.careersworld.org,domain,7,2,95,7.37,undetected,0,No,,,,0,0
23,23c0b4f1733284934c071df2bf953a1a894bb77c84cff71d9bfcf80ce3dc4c16,file,4,0,76,5.26,,5,No,,,,0,0
24,arabiccountriestalenthr.azurewebsites.net,domain,5,0,95,5.26,undetected,0,No,,,,0,0
25,activehealthlab.azurewebsites.net,domain,5,0,95,5.26,undetected,0,No,,,,0,0
26,ehealthpsuluth.com,domain,9,0,95,9.47,undetected,5,No,,,,0,0
27,cloudaskquestionanswers.azurewebsites.net.net,domain,4,2,95,4.21,undetected,0,No,,,,0,0
28,airbus.careers-portal.org,domain,9,0,95,9.47,undetected,0,No,,,,0,0
29,954de96c7fcc84fb062ca1e68831ae5745cf091ef5fb2cb2622edf2358e749e0,file,6,0,76,7.89,,5,No,,,,0,0
30,send-feedback-838.azurewebsites.net,domain,4,2,95,4.21,undetected,0,No,,,,0,0
31,cloudaskquestioning.eastus.cloudapp.azure.com,domain,3,0,95,3.16,undetected,0,No,,,,0,0
32,careers-hub.org,domain,8,1,95,8.42,undetected,5,No,,,,0,0
33,createformquestionshelper.com.net,domain,6,2,95,6.32,undetected,0,No,,,,0,0
34,virgomarketingsolutions.com,domain,12,0,95,12.63,undetected,6,No,,,,0,0
35,exchtestcheckingapihealth.com,domain,9,0,95,9.47,undetected,5,No,,,,0,0
36,send-feedback-413.azurewebsites.net,domain,6,0,95,6.32,undetected,0,No,,,,0,0
37,totalcaremedcenter.azurewebsites.net,domain,6,1,95,6.32,undetected,0,No,,,,0,0
38,b9b3ba39dbb6f4da3ed492140ffc167bde5dee005a35228ce156bed413af622d,file,5,0,76,6.58,,5,No,,,,0,0
39,check-backup-service-179.azurewebsites.net,domain,5,2,95,5.26,undetected,0,No,,,,0,0
40,theworldcareers.com,domain,9,0,95,9.47,undetected,5,No,,,,0,0
41,53ff76014f650b3180bc87a23d40dc861a005f47a6977cb2fba8907259c3cf7a,file,1,0,76,1.32,,5,No,,,,0,0
42,gocareers.org,domain,8,0,95,8.42,undetected,5,No,,,,0,0
43,a4f5251c81f080d80d1f75ad4cc8f5bc751e7c6df5addcfca268d59107737bd0,file,21,0,76,27.63,Trojan:Win32/Alevaul!rfn,5,No,,,,0,0
44,sulumorbusinessservices.com,domain,9,1,95,9.47,undetected,5,No,,,,0,0
45,cloudaskingquestioning.azurewebsites.net.net,domain,5,1,95,5.26,undetected,0,No,,,,0,0
46,pharmainfo.azurewebsites.net,domain,6,0,95,6.32,undetected,0,No,,,,0,0
47,careers-portal.org,domain,8,1,95,8.42,undetected,5,No,,,,0,0
48,9b186530f291f0e6ebc981399c956e1de3ba26b0315b945a263250c06831f281,file,4,0,76,5.26,,5,No,,,,0,0
49,check-backup-service-288.azurewebsites.net,domain,5,2,95,5.26,undetected,0,No,,,,0,0
50,cloudaskquestionanswers.azurewebsites.net,domain,6,0,95,6.32,undetected,0,No,,,,0,0
51,olemanage-dashboard.azurewebsites.net,domain,6,1,95,6.32,undetected,0,No,,,,0,0
52,nanobreathe.azurewebsites.net,domain,5,1,95,5.26,undetected,0,No,,,,0,0
53,wellnessglowluth.azurewebsites.net,domain,6,0,95,6.32,undetected,0,No,,,,0,0
54,exchtestchecking.azurewebsites.net,domain,5,0,95,5.26,undetected,0,No,,,,0,0
55,lensvisionary.azurewebsites.net,domain,5,0,95,5.26,undetected,0,No,,,,0,0
